lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5,3_pctunique1,3_pctunique2,3_pctunique3,4_pctunique1,4_pctunique2,4_pctunique3,4_pctunique4,5_pctunique1,5_pctunique2,5_pctunique3,5_pctunique4,5_pctunique5,6_pctunique1,6_pctunique2,6_pctunique3,6_pctunique4,6_pctunique5,6_pctunique6,3_pctendunique1,3_pctendunique2,3_pctendunique3,4_pctendunique1,4_pctendunique2,4_pctendunique3,4_pctendunique4,5_pctendunique1,5_pctendunique2,5_pctendunique3,5_pctendunique4,5_pctendunique5,6_pctendunique1,6_pctendunique2,6_pctendunique3,6_pctendunique4,6_pctendunique5,6_pctendunique6
real,0,0,13237,16637,4.95285503561,5343,0.195364860586,0.302467146844,0.717012914093,69,68,1,0.00195549575787,0.00694840034885,156,151,156,151,0,5348,2226,4.22249746601,7.74993455697,10.5841091225,11.5412218161,11.222238008,0.0,0.0174059517125,0.2376941793,0.663672094329,0.895751450496,3.43328671263,6.99155386015,9.84071761392,11.2058701095,11.1689095417,0.000187160771102,0.0140370578327,0.222908478383,0.644956017219,0.906981096762,0.00461361014994,0.130334486736,1.0,0.00315855969678,0.0505369551485,0.53948199621,1.0,0.0015037593985,0.0706766917293,0.460902255639,0.907518796992,1.0,0.00252206809584,0.132408575032,0.592686002522,0.843631778058,0.994955863808,1.0,0.00115340253749,0.0703575547866,1.0,0.00252684775742,0.0454832596336,0.296904611497,1.0,0.0015037593985,0.0593984962406,0.248872180451,0.612781954887,1.0,0.00882723833544,0.0794451450189,0.291298865069,0.561160151324,0.839848675914,1.0
0,0,0,11620,14907,4.96975570229,5343,0.194605314015,0.299065650659,0.715515627924,63,59,0,0.00328562285813,0.00459850984829,152,145,152,145,0,4868,2120,4.26216729878,7.79008100889,10.5000562436,11.3962841376,11.1662612871,0.000187160771102,0.012726932435,0.187535092645,0.585064570466,0.874040801048,3.55248228191,7.11125806498,9.93355324595,11.1882167269,11.135621576,0.0,0.0108553247239,0.196705970429,0.605652255287,0.886767733483,0.00692041522491,0.133794694348,1.0,0.00189513581807,0.0555906506633,0.523689197726,1.0,0.0015037593985,0.0571428571429,0.45037593985,0.837593984962,1.0,0.0063051702396,0.118537200504,0.510718789407,0.780580075662,0.944514501892,1.0,0.00115340253749,0.083044982699,1.0,0.00126342387871,0.0379027163613,0.301326595073,1.0,0.000751879699248,0.0466165413534,0.269172932331,0.589473684211,1.0,0.00504413619168,0.0706179066835,0.295081967213,0.551071878941,0.829760403531,1.0
1,0,0,11678,15051,4.97474815104,5343,0.197222312299,0.297730824753,0.724312184166,62,62,3,0.00338172628213,0.00454520924153,160,129,160,129,0,4930,2159,4.28845952271,7.81075294447,10.532090483,11.415478862,11.1763445543,0.0,0.0121654501217,0.183604716451,0.588620625117,0.880029945723,3.54933995925,7.0956716756,9.90795590711,11.1958637078,11.1548959902,0.0,0.0129140932061,0.195395845031,0.608459666854,0.88957514505,0.0080738177624,0.121107266436,1.0,0.000631711939356,0.0587492103601,0.51989892609,1.0,0.00300751879699,0.0616541353383,0.435338345865,0.834586466165,1.0,0.00252206809584,0.129886506936,0.544766708701,0.804539722573,0.945775535939,1.0,0.00115340253749,0.0726643598616,1.0,0.00189513581807,0.0435881238155,0.30385344283,1.0,0.000751879699248,0.0518796992481,0.265413533835,0.6,1.0,0.00378310214376,0.0668348045397,0.297604035309,0.575031525851,0.815889029004,1.0
2,0,0,11853,15116,4.97093787727,5343,0.200163287012,0.298655009691,0.708216357851,61,60,0,0.00341584996166,0.00462915769717,150,131,150,131,0,5026,2141,4.26606896704,7.80708444046,10.5165241629,11.426424432,11.1837118314,0.0,0.0116039678083,0.193898558862,0.597230020588,0.881340071121,3.51231384683,7.10182689545,9.9252058414,11.1995196464,11.1566862074,0.0,0.0129140932061,0.189219539585,0.607149541456,0.889762305821,0.00346020761246,0.133794694348,1.0,0.000631711939356,0.0442198357549,0.538218572331,1.0,0.0015037593985,0.0593984962406,0.421052631579,0.824060150376,1.0,0.00252206809584,0.100882723834,0.534678436318,0.833543505675,0.959646910467,1.0,0.00115340253749,0.0772779700115,1.0,0.00126342387871,0.0473783954517,0.287428932407,1.0,0.000751879699248,0.0526315789474,0.271428571429,0.616541353383,1.0,0.00126103404792,0.0794451450189,0.316519546028,0.610340479193,0.822194199243,1.0
3,0,0,11495,14793,4.97689128552,5343,0.191443957106,0.296515474528,0.704847463972,71,61,1,0.00322225031042,0.00457585709041,164,129,164,129,0,4718,2131,4.26682210328,7.80409199397,10.5261200583,11.4162782758,11.178861846,0.000187160771102,0.011042485495,0.181545947969,0.596294216732,0.882650196519,3.54868831954,7.11484922075,9.91950962772,11.2268502094,11.1556995626,0.000374321542205,0.0106681639528,0.198951899682,0.622309563915,0.892756878158,0.00461361014994,0.124567474048,1.0,0.00189513581807,0.0549589387239,0.49968414403,1.0,0.000751879699248,0.0684210526316,0.448872180451,0.845864661654,1.0,0.00504413619168,0.110970996217,0.543505674653,0.794451450189,0.945775535939,1.0,0.00115340253749,0.0876585928489,1.0,0.00126342387871,0.0410612760581,0.303221730891,1.0,0.00225563909774,0.0398496240602,0.263909774436,0.658646616541,1.0,0.0,0.0668348045397,0.307692307692,0.567465321564,0.81210592686,1.0
4,0,0,11798,15106,4.96109585539,5343,0.192700130069,0.298137093578,0.727306756504,59,59,4,0.00349384694346,0.00451789268056,162,128,162,128,0,4875,2129,4.26893717053,7.82419880351,10.518032885,11.4162397757,11.1569398044,0.0,0.0123526108928,0.184353359536,0.596107055961,0.873104997193,3.49853585676,7.02551383975,9.87933393804,11.170272823,11.1282213848,0.000187160771102,0.0129140932061,0.203630918959,0.605090772974,0.88283735729,0.00576701268743,0.129181084198,1.0,0.00252684775742,0.0593809222994,0.526216045483,1.0,0.00300751879699,0.0721804511278,0.446616541353,0.833082706767,1.0,0.00378310214376,0.104665825977,0.535939470366,0.815889029004,0.947036569987,1.0,0.00115340253749,0.0772779700115,1.0,0.00252684775742,0.0423246999368,0.321541377132,1.0,0.000751879699248,0.0421052631579,0.25037593985,0.61954887218,1.0,0.00504413619168,0.078184110971,0.321563682219,0.576292559899,0.8184110971,1.0
5,0,0,11522,14828,4.97616877907,5343,0.18779396422,0.299765211558,0.719633164889,76,53,3,0.00330303289871,0.00451656016539,162,122,162,122,0,4771,2118,4.25540493107,7.80061871039,10.4936889198,11.428039413,11.1795611733,0.0,0.0123526108928,0.182856073367,0.599475949841,0.881340071121,3.56458820998,7.11557000729,9.91717509999,11.1978438814,11.158018156,0.000187160771102,0.0125397716639,0.193711398091,0.606775219914,0.889387984278,0.00576701268743,0.126874279123,1.0,0.00315855969678,0.0499052432091,0.506001263424,1.0,0.0015037593985,0.0586466165414,0.424812030075,0.866917293233,1.0,0.00378310214376,0.0920554854981,0.554854981084,0.80580075662,0.944514501892,1.0,0.00346020761246,0.0588235294118,1.0,0.00126342387871,0.0353758686039,0.319646241314,1.0,0.0015037593985,0.0563909774436,0.245112781955,0.605263157895,1.0,0.00756620428752,0.063051702396,0.269861286255,0.55737704918,0.828499369483,1.0
6,0,0,11745,15164,4.97623009157,5343,0.192996694783,0.30089889231,0.711959573273,66,65,2,0.00334063858636,0.00462915769717,166,129,166,129,0,4946,2102,4.27855080344,7.79337293735,10.4865464492,11.4126333315,11.1729292369,0.000187160771102,0.0134755755194,0.186973610331,0.594422609021,0.876661051844,3.55645282247,7.11571437233,9.92114835558,11.2003528234,11.1534325854,0.000374321542205,0.0117911285794,0.187535092645,0.606775219914,0.887142055025,0.00346020761246,0.138408304498,1.0,0.00189513581807,0.0536955148452,0.511054958939,1.0,0.00451127819549,0.0684210526316,0.421804511278,0.841353383459,1.0,0.00378310214376,0.0996216897856,0.505674653216,0.819672131148,0.936948297604,1.0,0.00346020761246,0.0588235294118,1.0,0.00189513581807,0.0322173089071,0.299431459255,1.0,0.0015037593985,0.0443609022556,0.230827067669,0.595488721805,1.0,0.00378310214376,0.0744010088272,0.317780580076,0.621689785624,0.868852459016,1.0
7,0,0,11708,15032,4.96972038629,5343,0.195860932509,0.296457426973,0.715702788695,67,57,3,0.00332462134903,0.00461983009099,170,145,170,145,0,4805,2157,4.26692103643,7.80967143226,10.5365326791,11.4247382571,11.1868690213,0.0,0.0123526108928,0.188096574958,0.594422609021,0.884147482688,3.52288712512,7.09171613967,9.91169257706,11.1946150739,11.1488651326,0.000187160771102,0.0125397716639,0.194834362718,0.607336702227,0.887703537339,0.00346020761246,0.129181084198,1.0,0.00252684775742,0.0606443461781,0.548325963361,1.0,0.00451127819549,0.0541353383459,0.433834586466,0.812030075188,1.0,0.0,0.123581336696,0.556116015132,0.833543505675,0.959646910467,1.0,0.00115340253749,0.0703575547866,1.0,0.00126342387871,0.0385344283007,0.2937460518,1.0,0.000751879699248,0.0421052631579,0.248872180451,0.597744360902,1.0,0.00504413619168,0.078184110971,0.332912988651,0.588902900378,0.819672131148,1.0
8,0,0,11640,14824,4.97898901371,5343,0.201927048489,0.294386125057,0.711772412502,56,53,2,0.00324035675262,0.00465514174297,141,126,141,126,0,4802,2117,4.2686609203,7.83378890835,10.5511044168,11.4394514718,11.1858302241,0.0,0.0117911285794,0.192214111922,0.605090772974,0.87946846341,3.563567448,7.12862954504,9.95833912999,11.2195707943,11.1523562723,0.000187160771102,0.0104810031817,0.200636346622,0.618379187722,0.889387984278,0.00115340253749,0.134948096886,1.0,0.00126342387871,0.0581174984207,0.52937460518,1.0,0.00451127819549,0.0714285714286,0.447368421053,0.826315789474,1.0,0.00378310214376,0.107187894073,0.554854981084,0.84867591425,0.959646910467,1.0,0.00230680507497,0.0738177623991,1.0,0.00252684775742,0.0353758686039,0.307012002527,1.0,0.000751879699248,0.0503759398496,0.294736842105,0.627067669173,1.0,0.00252206809584,0.0794451450189,0.324085750315,0.567465321564,0.810844892812,1.0
