lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5,3_pctunique1,3_pctunique2,3_pctunique3,4_pctunique1,4_pctunique2,4_pctunique3,4_pctunique4,5_pctunique1,5_pctunique2,5_pctunique3,5_pctunique4,5_pctunique5,6_pctunique1,6_pctunique2,6_pctunique3,6_pctunique4,6_pctunique5,6_pctunique6,3_pctendunique1,3_pctendunique2,3_pctendunique3,4_pctendunique1,4_pctendunique2,4_pctendunique3,4_pctendunique4,5_pctendunique1,5_pctendunique2,5_pctendunique3,5_pctendunique4,5_pctendunique5,6_pctendunique1,6_pctendunique2,6_pctendunique3,6_pctendunique4,6_pctendunique5,6_pctendunique6
real,0,0,7464,9916,5.32805457518,6728,0.122055166375,0.311403980109,0.455856123662,60,44,38,366.8,12.7811447811,198,73,198,73,0,2974,2324,4.33139012123,7.75477941673,10.51913354,11.931596771,11.8849254216,0.0,0.0114447086801,0.201397146254,0.678210463734,0.922413793103,4.44930600623,7.88090481733,10.7364587651,12.0027706029,11.9247648454,0.000148632580262,0.0109988109394,0.206153388823,0.697681331748,0.945897740785,0.00534759358289,0.161764705882,1.0,0.00242865816636,0.0595021250759,0.508196721311,1.0,0.00167317345231,0.042387060792,0.382041271612,0.864472950363,1.0,0.00231124807396,0.0546995377504,0.371340523883,0.775808936826,0.959938366718,1.0,0.00267379679144,0.16577540107,1.0,0.0,0.0412871888282,0.513054037644,1.0,0.00111544896821,0.0407138873397,0.409369771333,0.825432236475,1.0,0.000770416024653,0.0593220338983,0.408320493066,0.802003081664,0.963790446841,1.0
0,0,0,6904,9493,5.37159930336,6728,0.124354526653,0.301754423894,0.458680142687,44,44,38,386.9,10.2188552189,182,76,182,76,0,2418,2411,4.32712319432,7.75967535974,10.5929753705,11.9927067135,11.9517357098,0.0,0.00995838287753,0.196938168847,0.684453032105,0.957788347206,4.59356954917,8.24976706763,11.0760468818,12.1920878803,11.9900684284,0.000297265160523,0.0157550535077,0.257728894174,0.781658739596,0.978299643282,0.00534759358289,0.147058823529,1.0,0.00303582270795,0.05343047966,0.465088038859,1.0,0.00167317345231,0.0535415504741,0.393195761294,0.822085889571,1.0,0.00385208012327,0.0639445300462,0.439137134052,0.841294298921,0.97842835131,1.0,0.0,0.176470588235,1.0,0.0,0.0588949605343,0.528840315726,1.0,0.00111544896821,0.0624651422197,0.49191299498,0.855549358617,1.0,0.00231124807396,0.0947611710324,0.559322033898,0.897534668721,0.982280431433,1.0
1,0,0,6996,9519,5.36966891369,6728,0.129854491771,0.300316054267,0.457639714625,53,49,39,385.0,10.5925925926,201,101,201,101,0,2505,2473,4.33554813674,7.76316761194,10.5502385125,11.9936194206,11.9567703325,0.0,0.0118906064209,0.190546967895,0.679994054697,0.959274673008,4.60678446416,8.25137250976,11.0763126056,12.2082648352,11.9952838625,0.000297265160523,0.0175386444709,0.256688466112,0.790725326992,0.980231866825,0.00668449197861,0.147058823529,1.0,0.00182149362477,0.0558591378264,0.452944748027,1.0,0.00111544896821,0.0407138873397,0.38036809816,0.813720022309,1.0,0.00308166409861,0.075500770416,0.444530046225,0.832049306626,0.97688751926,1.0,0.0,0.163101604278,1.0,0.000607164541591,0.0661809350334,0.505160898604,1.0,0.0,0.0658114891244,0.486335750139,0.868934746235,1.0,0.00154083204931,0.102465331279,0.561633281972,0.894453004622,0.986132511556,1.0
2,0,0,6743,9375,5.3693735045,6728,0.128045458277,0.295352781547,0.459274673008,45,48,41,381.5,9.85858585859,180,61,180,61,0,2361,2375,4.33836873673,7.76860941258,10.5745715304,12.0100337142,11.9555140182,0.000297265160523,0.0104042806183,0.196492271106,0.695749108205,0.957639714625,4.58092818472,8.21336019808,11.0690021502,12.1876647697,11.984085087,0.000148632580262,0.0148632580262,0.260998810939,0.784928656361,0.973543400713,0.00401069518717,0.135026737968,1.0,0.00121432908318,0.0570734669095,0.445658773528,1.0,0.000557724484105,0.0351366424986,0.378694924707,0.837144450641,1.0,0.00308166409861,0.0585516178737,0.424499229584,0.82280431433,0.969183359014,1.0,0.0,0.191176470588,1.0,0.00121432908318,0.0673952641166,0.550698239223,1.0,0.00111544896821,0.0580033463469,0.490239821528,0.866703848299,1.0,0.000770416024653,0.0893682588598,0.518489984592,0.875192604006,0.973035439137,1.0
3,0,0,6881,9419,5.36918065997,6728,0.128308471734,0.302892644799,0.458531510107,53,40,37,379.4,10.3939393939,203,69,203,69,0,2443,2374,4.34245964193,7.79225800523,10.5708515498,11.9994342937,11.9535739306,0.000148632580262,0.00862068965517,0.201397146254,0.694262782402,0.956896551724,4.5911933608,8.22423638545,11.0779867497,12.1971078659,11.9797737098,0.000148632580262,0.0147146254459,0.263376932224,0.793103448276,0.972651605232,0.00534759358289,0.177807486631,1.0,0.00121432908318,0.0491803278689,0.446873102611,1.0,0.00111544896821,0.0468488566648,0.38036809816,0.833798103737,1.0,0.00154083204931,0.0685670261941,0.436055469954,0.84437596302,0.973805855162,1.0,0.00133689839572,0.204545454545,1.0,0.00182149362477,0.0570734669095,0.505160898604,1.0,0.00111544896821,0.058561070831,0.509760178472,0.855549358617,1.0,0.0,0.0893682588598,0.550077041602,0.882126348228,0.973805855162,1.0
4,0,0,6892,9533,5.36998708065,6728,0.124022324039,0.302205978903,0.456896551724,57,42,45,380.5,10.3939393939,204,82,204,82,0,2386,2515,4.32340005739,7.74126484923,10.5437574177,11.9665453114,11.9501271379,0.0,0.0105529131986,0.190249702735,0.68177764566,0.953775267539,4.58634844477,8.2635868713,11.0655641536,12.2063581891,11.9913881349,0.000148632580262,0.0142687277051,0.259512485137,0.788644470868,0.978596908442,0.00267379679144,0.159090909091,1.0,0.00121432908318,0.0491803278689,0.46933819065,1.0,0.00167317345231,0.0535415504741,0.389849414389,0.824874511991,1.0,0.00231124807396,0.0570107858243,0.412942989214,0.817411402157,0.963790446841,1.0,0.00267379679144,0.171122994652,1.0,0.000607164541591,0.0710382513661,0.541590771099,1.0,0.000557724484105,0.0669269380926,0.485220301171,0.861126603458,1.0,0.0,0.0939907550077,0.571648690293,0.927580893683,0.983050847458,1.0
5,0,0,6926,9522,5.37065067972,6728,0.125503288272,0.30154999296,0.457342449465,50,53,33,380.2,10.5185185185,203,81,203,81,0,2403,2490,4.31939076802,7.74745781409,10.5436987126,11.9662433115,11.9508410182,0.000297265160523,0.00951248513674,0.191587395957,0.674048751486,0.957045184304,4.6104597063,8.27269788597,11.1133969448,12.2100339458,11.9948048206,0.000148632580262,0.0166468489893,0.26679548157,0.791765755054,0.979934601665,0.00267379679144,0.159090909091,1.0,0.00121432908318,0.0516089860352,0.465088038859,1.0,0.00111544896821,0.0429447852761,0.364751812605,0.803680981595,1.0,0.00154083204931,0.0716486902928,0.450693374422,0.838983050847,0.96687211094,1.0,0.00133689839572,0.196524064171,1.0,0.00182149362477,0.0680024286582,0.534911961141,1.0,0.00111544896821,0.0624651422197,0.526491912995,0.877858337981,1.0,0.00154083204931,0.095531587057,0.567026194145,0.894453004622,0.983050847458,1.0
6,0,0,7027,9702,5.37095771084,6728,0.129845321002,0.301127998729,0.462247324614,42,46,35,391.1,10.4915824916,171,91,171,91,0,2394,2539,4.32623402698,7.76220783921,10.586827168,11.9970985335,11.9568243595,0.000148632580262,0.0105529131986,0.194857312723,0.692330558859,0.96001783591,4.58856499817,8.24586750391,11.0714115279,12.1946062756,11.9901858475,0.0,0.016498216409,0.262485136742,0.789387633769,0.978894173603,0.00133689839572,0.148395721925,1.0,0.00121432908318,0.0449301760777,0.444444444444,1.0,0.00223089793642,0.0485220301171,0.41438929169,0.79754601227,1.0,0.00231124807396,0.0654853620955,0.430662557781,0.824345146379,0.966101694915,1.0,0.00133689839572,0.173796791444,1.0,0.000607164541591,0.0619307832423,0.523375834851,1.0,0.00111544896821,0.0630228667038,0.468488566648,0.871165644172,1.0,0.000770416024653,0.0824345146379,0.56625577812,0.890600924499,0.979198767334,1.0
7,0,0,6612,9225,5.37036123616,6728,0.127081530608,0.296940982593,0.459571938169,52,41,33,377.4,9.55555555556,180,79,180,79,0,2338,2315,4.33465425502,7.78815543948,10.5928375772,11.998853873,11.9483584965,0.0,0.00921521997622,0.192330558859,0.697235434007,0.956747919144,4.57525886444,8.26833702339,11.0921952054,12.2138819228,11.9904300511,0.0,0.0170927467301,0.260255648038,0.796373365042,0.978002378121,0.0,0.160427807487,1.0,0.000607164541591,0.0479659987857,0.46933819065,1.0,0.00167317345231,0.0451756832125,0.390964863358,0.81650864473,1.0,0.00154083204931,0.0693374422188,0.448382126348,0.829738058552,0.961479198767,1.0,0.00401069518717,0.197860962567,1.0,0.000607164541591,0.0740740740741,0.531876138434,1.0,0.000557724484105,0.0708310094813,0.492470719465,0.880646960402,1.0,0.00154083204931,0.0901386748844,0.557010785824,0.885978428351,0.975346687211,1.0
8,0,0,6633,9194,5.37396911695,6728,0.123370353596,0.296429119136,0.46046373365,46,47,33,367.9,9.94612794613,171,73,171,73,0,2277,2364,4.33169416353,7.78734477423,10.5932875642,11.9938208785,11.952874605,0.0,0.00980975029727,0.197681331748,0.687871581451,0.957639714625,4.58969438333,8.26381769587,11.0808700493,12.1980574591,11.9928886529,0.000148632580262,0.0144173602854,0.258620689655,0.783590963139,0.978745541023,0.00534759358289,0.135026737968,1.0,0.00182149362477,0.0576806314511,0.476017000607,1.0,0.000557724484105,0.0401561628555,0.375906302287,0.809258226436,1.0,0.00154083204931,0.0639445300462,0.442218798151,0.835901386749,0.975346687211,1.0,0.0,0.20320855615,1.0,0.00121432908318,0.0643594414086,0.550698239223,1.0,0.0,0.0646960401562,0.491355270496,0.866146123815,1.0,0.00231124807396,0.0939907550077,0.525423728814,0.892141756549,0.992295839753,1.0
