lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5,3_pctunique1,3_pctunique2,3_pctunique3,4_pctunique1,4_pctunique2,4_pctunique3,4_pctunique4,5_pctunique1,5_pctunique2,5_pctunique3,5_pctunique4,5_pctunique5,6_pctunique1,6_pctunique2,6_pctunique3,6_pctunique4,6_pctunique5,6_pctunique6,3_pctendunique1,3_pctendunique2,3_pctendunique3,4_pctendunique1,4_pctendunique2,4_pctendunique3,4_pctendunique4,5_pctendunique1,5_pctendunique2,5_pctendunique3,5_pctendunique4,5_pctendunique5,6_pctendunique1,6_pctendunique2,6_pctendunique3,6_pctendunique4,6_pctendunique5,6_pctendunique6
real,0,0,4151,5409,5.53132322487,4121,0.156110082155,0.355445484381,0.523659305994,11,14,11,0.00165681130599,0.00366814548538,60,29,60,29,0,1960,620,4.41422668941,7.7575983101,10.3027715777,11.4095701224,11.3375650405,0.000242659548653,0.0211113807328,0.281242416889,0.711963115749,0.917738413007,3.36373204118,6.21052582011,9.08403514639,10.7390067036,11.0905819572,0.0,0.018927444795,0.198738170347,0.543557388983,0.825770444067,0.00277008310249,0.260387811634,1.0,0.00591715976331,0.119526627219,0.637869822485,1.0,0.00185356811863,0.0685820203892,0.644114921223,0.902687673772,1.0,0.0033185840708,0.0752212389381,0.444690265487,0.888274336283,0.966814159292,1.0,0.0,0.218836565097,1.0,0.0,0.0887573964497,0.446153846154,1.0,0.000926784059314,0.0491195551437,0.294717330862,0.584800741427,1.0,0.0033185840708,0.0530973451327,0.237831858407,0.517699115044,0.782079646018,1.0
0,0,0,3677,5011,5.56725933709,4121,0.143334215573,0.323750243143,0.527056539675,14,16,8,0.00210506272875,0.00263909017841,59,28,59,28,0,1736,610,4.44410241671,7.77997401587,10.1794813003,11.1758882365,11.1991997187,0.0,0.0155302111138,0.202135404028,0.553506430478,0.830866294589,3.4570320326,6.40591421179,9.19008693052,10.7442800894,11.0937405613,0.000242659548653,0.0157728706625,0.168405726765,0.500606648872,0.809512254307,0.01108033241,0.315789473684,1.0,0.00355029585799,0.113609467456,0.661538461538,1.0,0.00370713623726,0.0815569972196,0.539388322521,0.865616311399,1.0,0.00221238938053,0.0896017699115,0.452433628319,0.819690265487,0.935840707965,1.0,0.0,0.224376731302,1.0,0.0,0.0828402366864,0.431952662722,1.0,0.000926784059314,0.0639481000927,0.292863762743,0.604263206673,1.0,0.0033185840708,0.0575221238938,0.234513274336,0.54092920354,0.774336283186,1.0
1,0,0,3555,4960,5.56594249675,4121,0.148458464217,0.311274105818,0.544285367629,12,15,13,0.00204820487867,0.00253909587429,57,23,57,23,0,1627,633,4.41339059149,7.76063016863,10.1662864869,11.1635138067,11.1902805064,0.0,0.0169861684057,0.198010191701,0.550109196797,0.830380975491,3.47338728265,6.39524430097,9.17931342982,10.7133357051,11.0524169856,0.0,0.0177141470517,0.164523173987,0.486289735501,0.795680660034,0.0138504155125,0.340720221607,1.0,0.00591715976331,0.126627218935,0.626035502959,1.0,0.00278035217794,0.0732159406858,0.524559777572,0.830398517146,1.0,0.00110619469027,0.0973451327434,0.434734513274,0.79203539823,0.899336283186,1.0,0.00277008310249,0.252077562327,1.0,0.0,0.0804733727811,0.442603550296,1.0,0.000926784059314,0.050046339203,0.275254865616,0.577386468953,1.0,0.00221238938053,0.0519911504425,0.234513274336,0.508849557522,0.761061946903,1.0
2,0,0,3505,4991,5.56340081468,4121,0.142929291804,0.310557982362,0.551807813637,19,10,10,0.00208126176825,0.0024441645729,52,28,52,28,0,1645,600,4.44885982834,7.74296823241,10.13549034,11.1721187037,11.1946159584,0.0,0.0172288279544,0.192914341179,0.5496238777,0.825770444067,3.42757372915,6.37863596334,9.19201438345,10.7097262599,11.0653102119,0.0,0.0152875515652,0.169133705411,0.488473671439,0.795195340937,0.00831024930748,0.296398891967,1.0,0.0,0.120710059172,0.636686390533,1.0,0.00370713623726,0.0732159406858,0.530120481928,0.844300278035,1.0,0.0033185840708,0.0730088495575,0.410398230088,0.803097345133,0.925884955752,1.0,0.00554016620499,0.182825484765,1.0,0.00118343195266,0.0591715976331,0.426035502959,1.0,0.000926784059314,0.064874884152,0.305838739574,0.615384615385,1.0,0.00221238938053,0.0553097345133,0.259955752212,0.526548672566,0.738938053097,1.0
3,0,0,3566,4900,5.57690611431,4121,0.13918852395,0.315523125809,0.512496966756,17,18,14,0.00202572619375,0.00257453689347,68,30,68,30,0,1658,687,4.41646113115,7.77256488257,10.1760792183,11.1784302016,11.2052739005,0.000485319097306,0.0145595729192,0.200436787188,0.558844940548,0.840330016986,3.48559314028,6.43934323881,9.27566436383,10.8070767113,11.1233930788,0.0,0.0152875515652,0.172530939092,0.498908032031,0.818247998059,0.00277008310249,0.265927977839,1.0,0.00236686390533,0.107692307692,0.608284023669,1.0,0.00370713623726,0.0843373493976,0.534754402224,0.83781278962,1.0,0.0033185840708,0.0862831858407,0.428097345133,0.788716814159,0.920353982301,1.0,0.0,0.221606648199,1.0,0.0,0.094674556213,0.43550295858,1.0,0.00185356811863,0.0583873957368,0.284522706209,0.599629286376,1.0,0.00110619469027,0.0652654867257,0.257743362832,0.566371681416,0.807522123894,1.0
4,0,0,3710,5204,5.56998642991,4121,0.149058179182,0.319491776559,0.535792283426,12,18,17,0.00215002009859,0.00263782442772,74,24,74,24,0,1698,626,4.42342310592,7.75799883017,10.1467272049,11.1634759782,11.1630458701,0.000242659548653,0.0172288279544,0.188546469304,0.547439941762,0.817277359864,3.44320558693,6.39623296795,9.18464318255,10.725864375,11.0908910586,0.0,0.0165008493084,0.163309876244,0.489444309634,0.807570977918,0.00831024930748,0.315789473684,1.0,0.0,0.127810650888,0.618934911243,1.0,0.00185356811863,0.0722891566265,0.511584800741,0.848934198332,1.0,0.00442477876106,0.0851769911504,0.432522123894,0.808628318584,0.905973451327,1.0,0.0,0.238227146814,1.0,0.0,0.0721893491124,0.433136094675,1.0,0.0,0.0491195551437,0.258572752549,0.564411492122,1.0,0.0,0.0530973451327,0.25,0.54314159292,0.786504424779,1.0
5,0,0,3601,4949,5.55937608225,4121,0.138759452321,0.325351943208,0.539189517107,14,18,20,0.00200589206,0.00263782442772,71,29,71,29,0,1756,612,4.43642260661,7.77618250419,10.1821982856,11.1733951752,11.1940717297,0.000242659548653,0.0150448920165,0.195826255763,0.548167920408,0.828682358651,3.44807400582,6.36543869821,9.15546537292,10.7342487543,11.0962805947,0.0,0.0177141470517,0.165008493084,0.489201650085,0.809269594759,0.00831024930748,0.340720221607,1.0,0.00355029585799,0.0994082840237,0.634319526627,1.0,0.00278035217794,0.064874884152,0.559777571826,0.849860982391,1.0,0.0033185840708,0.0907079646018,0.420353982301,0.804203539823,0.91814159292,1.0,0.0,0.213296398892,1.0,0.00118343195266,0.0769230769231,0.427218934911,1.0,0.00185356811863,0.0583873957368,0.278035217794,0.59499536608,1.0,0.00110619469027,0.0619469026549,0.256637168142,0.528761061947,0.765486725664,1.0
6,0,0,3643,5055,5.56720844926,4121,0.149063386,0.31749589721,0.552535792283,19,22,16,0.002037626674,0.00266060794005,76,32,76,32,0,1669,656,4.40738019743,7.74133168147,10.148218663,11.1618328554,11.1652888249,0.000485319097306,0.0155302111138,0.200922106285,0.552050473186,0.817520019413,3.4867194859,6.43521512698,9.19075844751,10.7457164022,11.0670526195,0.0,0.017471487503,0.167435088571,0.499878670226,0.802960446494,0.0138504155125,0.332409972299,1.0,0.00591715976331,0.145562130178,0.589349112426,1.0,0.00185356811863,0.0759962928638,0.544949026877,0.856348470806,1.0,0.00110619469027,0.0796460176991,0.446902654867,0.780973451327,0.884955752212,1.0,0.00554016620499,0.249307479224,1.0,0.00118343195266,0.0863905325444,0.410650887574,1.0,0.0,0.0518999073216,0.277108433735,0.587581093605,1.0,0.00110619469027,0.0575221238938,0.258849557522,0.535398230088,0.780973451327,1.0
7,0,0,3518,4936,5.56727606411,4121,0.142953885058,0.333779843984,0.523901965542,13,12,9,0.00201250343792,0.00252643836743,54,29,54,29,0,1666,631,4.41620981228,7.7649856366,10.1684613256,11.1727131884,11.1860778009,0.000485319097306,0.0143169133705,0.195583596215,0.552293132735,0.826498422713,3.47027661723,6.42086033715,9.22451618136,10.7390858028,11.0788924403,0.0,0.0160155302111,0.174957534579,0.49187090512,0.806842999272,0.00831024930748,0.318559556787,1.0,0.00473372781065,0.112426035503,0.633136094675,1.0,0.000926784059314,0.0685820203892,0.562557924004,0.865616311399,1.0,0.00221238938053,0.0851769911504,0.444690265487,0.794247787611,0.910398230088,1.0,0.0,0.252077562327,1.0,0.00118343195266,0.0899408284024,0.480473372781,1.0,0.000926784059314,0.0593141797961,0.279888785913,0.579240037071,1.0,0.0033185840708,0.0663716814159,0.255530973451,0.530973451327,0.771017699115,1.0
8,0,0,3588,4997,5.56178630411,4121,0.148261466208,0.312858984879,0.52608590148,10,12,19,0.00206539446125,0.00256441088799,60,30,60,30,0,1675,609,4.40885143896,7.75371966844,10.157342485,11.1838053544,11.1999375491,0.000485319097306,0.0140742538219,0.198495510798,0.561028876486,0.829652996845,3.45842955011,6.41905340501,9.20088041886,10.7276822666,11.0860536158,0.0,0.0169861684057,0.174229555933,0.485561756855,0.803931084688,0.00831024930748,0.337950138504,1.0,0.00236686390533,0.117159763314,0.642603550296,1.0,0.00278035217794,0.0806302131603,0.522706209453,0.857275254866,1.0,0.00442477876106,0.0730088495575,0.429203539823,0.806415929204,0.923672566372,1.0,0.0,0.246537396122,1.0,0.0,0.0816568047337,0.43550295858,1.0,0.00278035217794,0.0602409638554,0.291936978684,0.597775718258,1.0,0.00221238938053,0.0719026548673,0.25,0.549778761062,0.79092920354,1.0
