lexicon,pairs,count
real,d_z,44
real,d_x,37
real,d_r,62
real,d_s,28
real,d_p,59
real,d_v,51
real,d_w,44
real,d_t,68
real,d_j,35
real,d_k,101
real,d_h,45
real,d_n,38
real,d_l,66
real,d_m,53
real,d_f,24
real,M_i,10
real,M_o,12
real,M_a,13
real,j_k,39
real,j_l,37
real,j_m,36
real,M_e,16
real,j_p,42
real,j_r,47
real,j_s,18
real,p_z,41
real,M_},10
real,j_w,15
real,j_x,18
real,p_w,53
real,p_t,147
real,p_r,98
real,M_v,1
real,M_u,12
real,M_O,10
real,Z_p,4
real,Z_r,8
real,Z_s,1
real,Z_t,3
real,Z_v,2
real,Z_z,1
real,Z_b,2
real,Z_d,3
real,Z_h,2
real,Z_j,2
real,Z_k,5
real,Z_l,2
real,Z_m,4
real,Z_n,1
real,M_s,1
real,w_z,40
real,h_r,57
real,n_z,28
real,)_o,2
real,)_i,5
real,n_p,80
real,)_e,3
real,)_a,4
real,)_|,2
real,n_r,114
real,)_y,3
real,)_u,1
real,)_t,1
real,)_O,2
real,)_I,1
real,)_E,3
real,)_A,5
real,)_@,1
real,L_a,43
real,i_o,50
real,i_n,1
real,i_k,2
real,L_u,39
real,L_y,3
real,L_|,18
real,L_},30
real,i_},21
real,i_|,21
real,i_y,16
real,L_e,51
real,i_u,42
real,i_t,2
real,i_s,2
real,L_o,46
real,p_x,90
real,i_p,1
real,L_i,34
real,L_O,51
real,L_M,11
real,S_p,13
real,S_s,7
real,S_r,12
real,S_t,9
real,S_w,7
real,S_v,4
real,S_x,5
real,S_z,5
real,S_b,9
real,S_d,9
real,S_f,4
real,S_h,10
real,S_k,14
real,S_j,6
real,S_m,13
real,S_l,15
real,S_n,7
real,I_O,98
real,I_N,4
real,I_M,10
real,I_L,35
real,v_x,36
real,v_z,34
real,I_o,51
real,I_n,22
real,I_m,5
real,I_l,20
real,I_k,11
real,I_i,33
real,I_f,3
real,I_e,71
real,I_a,64
real,I_},46
real,I_|,20
real,I_y,2
real,I_x,9
real,I_u,49
real,I_t,9
real,I_s,13
real,I_r,17
real,I_p,7
real,m_n,60
real,m_z,45
real,m_x,73
real,m_s,66
real,m_r,86
real,m_p,133
real,m_w,56
real,m_v,56
real,m_t,106
real,s_t,119
real,s_w,24
real,s_v,25
real,s_x,51
real,s_z,11
real,|_},20
real,j_n,34
real,N_S,2
real,l_r,203
real,l_s,89
real,l_p,135
real,l_v,47
real,l_w,57
real,l_t,167
real,l_z,46
real,f_m,50
real,l_x,99
real,f_o,1
real,f_h,19
real,M_y,12
real,f_j,12
real,f_k,79
real,f_t,67
real,f_v,7
real,f_w,15
real,f_p,62
real,f_r,43
real,f_s,63
real,j_t,35
real,l_n,133
real,f_z,8
real,l_m,114
real,j_v,24
real,M_|,7
real,p_v,61
real,j_z,18
real,O_u,68
real,r_z,41
real,O_},63
real,O_|,25
real,r_s,65
real,O_y,10
real,r_v,41
real,p_s,81
real,O_e,66
real,O_a,99
real,O_o,60
real,O_i,48
real,E_s,3
real,E_r,7
real,E_p,8
real,E_w,9
real,E_v,4
real,E_u,46
real,E_t,5
real,E_y,10
real,E_x,3
real,E_},55
real,E_|,24
real,E_b,4
real,E_a,78
real,v_w,47
real,E_f,2
real,E_e,57
real,E_d,3
real,E_k,4
real,E_i,36
real,E_h,4
real,E_o,50
real,E_n,3
real,E_m,4
real,E_l,11
real,y_},5
real,y_|,11
real,E_I,73
real,E_O,95
real,E_M,13
real,E_L,37
real,e_s,2
real,e_p,1
real,e_u,65
real,e_y,19
real,e_},32
real,e_|,30
real,f_l,53
real,e_k,1
real,e_i,56
real,e_o,67
real,f_n,42
real,o_u,47
real,o_t,3
real,o_s,1
real,o_},33
real,o_|,22
real,o_y,15
real,f_i,1
real,N_x,7
real,N_z,1
real,N_t,19
real,N_p,20
real,N_r,11
real,N_s,12
real,N_l,16
real,N_m,11
real,N_n,8
real,N_j,2
real,N_k,25
real,N_f,9
real,f_x,38
real,x_z,25
real,b_h,68
real,b_j,18
real,b_k,102
real,b_l,74
real,b_m,69
real,b_n,26
real,b_d,48
real,b_f,30
real,b_g,1
real,b_x,62
real,b_z,49
real,b_p,69
real,b_r,55
real,b_s,33
real,b_t,61
real,b_v,56
real,b_w,58
real,h_v,44
real,h_w,46
real,h_t,52
real,n_x,83
real,h_s,21
real,h_p,55
real,n_t,123
real,n_v,31
real,n_w,37
real,h_z,40
real,h_x,34
real,n_s,82
