lexicon,pairs,count
real,#_b,4
real,#_d,4
real,#_g,2
real,#_f,6
real,#_i,44
real,#_h,4
real,#_k,5
real,#_j,2
real,#_m,5
real,#_l,6
real,#_n,3
real,#_p,9
real,#_s,4
real,#_r,17
real,#_u,21
real,#_t,4
real,#_w,9
real,#_v,1
real,#_{,46
real,Q_w,9
real,#_E,39
real,#_D,1
real,#_I,54
real,#_J,3
real,#_Q,58
real,#_P,1
real,#_S,1
real,#_U,11
real,#_V,47
real,#__,2
real,#_$,41
real,#_1,49
real,#_3,40
real,#_5,46
real,d_z,44
real,d_r,63
real,d_s,114
real,d_p,128
real,d_v,53
real,d_w,53
real,d_t,193
real,Q_z,2
real,d_j,16
real,d_k,144
real,d_h,56
real,d_n,125
real,d_l,129
real,d_m,118
real,d_f,91
real,d_g,72
real,j_k,20
real,j_l,23
real,j_m,16
real,j_n,15
real,j_p,16
real,j_r,24
real,j_s,14
real,p_z,31
real,p_{,2
real,j_v,3
real,j_w,19
real,p_v,50
real,p_w,71
real,p_t,175
real,p_r,65
real,p_s,121
real,Z_p,1
real,Z_s,2
real,Z_t,3
real,#_@,2
real,Z_z,2
real,Z_b,1
real,Z_k,1
real,Z_l,1
real,Z_m,1
real,Z_n,2
real,w_z,9
real,n_z,42
real,h_z,8
real,R__,9
real,$_@,2
real,i_n,1
real,i_m,1
real,R_S,2
real,i_k,1
real,t_v,59
real,R_U,4
real,i_{,71
real,i_z,1
real,i_v,1
real,i_u,77
real,i_t,1
real,i_s,1
real,S_p,68
real,S_s,53
real,S_r,39
real,S_t,75
real,S_w,38
real,S_v,11
real,S_z,8
real,S_b,60
real,S_d,78
real,S_g,55
real,S_f,49
real,S_h,42
real,S_k,68
real,S_j,14
real,S_m,62
real,S_l,52
real,S_n,44
real,S_U,1
real,S_T,14
real,S__,24
real,I_N,1
real,v_w,14
real,I_J,9
real,v_z,22
real,I__,3
real,I_V,110
real,I_U,67
real,I_T,6
real,I_S,6
real,I_R,10
real,I_Q,104
real,I_P,5
real,I_n,10
real,I_m,11
real,I_l,4
real,I_k,16
real,I_i,91
real,I_g,4
real,I_f,11
real,I_d,15
real,I_b,8
real,I_{,123
real,I_z,2
real,I_v,2
real,I_u,59
real,I_t,24
real,I_s,22
real,I_p,12
real,5_@,11
real,5_E,49
real,5_J,2
real,5_I,84
real,5_Q,49
real,5_P,9
real,5_V,45
real,5_U,8
real,5__,1
real,5_b,1
real,m_n,105
real,5_d,5
real,5_k,3
real,5_i,92
real,5_n,1
real,5_s,7
real,m_z,36
real,5_p,3
real,5_v,1
real,5_u,66
real,5_t,7
real,m_s,102
real,m_r,67
real,m_p,133
real,m_w,51
real,m_v,42
real,m_t,142
real,1_H,1
real,V_u,36
real,s_u,1
real,s_t,146
real,s_w,58
real,s_v,44
real,s_{,2
real,s_z,32
real,V_{,116
real,V_i,63
real,R_z,7
real,R_p,6
real,R_s,20
real,R_t,30
real,R_v,4
real,R_k,23
real,R_l,23
real,R_m,17
real,R_n,27
real,R_b,6
real,R_d,18
real,R_f,6
real,R_g,2
real,__d,52
real,__g,34
real,__f,45
real,__b,46
real,__m,46
real,__l,55
real,__n,44
real,R_T,9
real,__h,27
real,__k,62
real,__j,17
real,__t,67
real,__w,28
real,__v,19
real,__p,41
real,__s,50
real,__r,30
real,__z,12
real,H_P,6
real,H_I,2
real,H_t,4
real,H_z,1
real,H_k,1
real,l_r,138
real,l_s,128
real,l_p,133
real,f_g,68
real,l_v,49
real,l_w,71
real,l_t,177
real,l_z,49
real,f_m,103
real,f_n,80
real,f_h,54
real,f_j,18
real,f_k,124
real,f_t,111
real,f_v,34
real,f_w,57
real,f_p,120
real,f_r,49
real,f_s,94
real,j_t,21
real,l_n,165
real,f_z,15
real,f_{,2
real,f_l,85
real,j_z,3
real,r_z,11
real,r_s,64
real,r_t,64
real,r_v,18
real,r_w,72
real,E_s,1
real,E_u,33
real,E_{,66
real,$_Q,37
real,$_V,36
real,$_U,12
real,1_5,97
real,$_I,68
real,1_3,45
real,E_i,52
real,$_E,46
real,$_{,43
