lexicon,pairs,count
real,1_5,1
real,d_z,8
real,d_s,33
real,d_p,37
real,d_v,20
real,d_w,2
real,d_t,40
real,d_u,2
real,d_j,9
real,d_k,32
real,d_n,27
real,d_o,4
real,d_l,37
real,d_m,39
real,d_f,38
real,d_g,21
real,d_e,1
real,j_k,11
real,j_l,24
real,j_m,12
real,j_n,13
real,j_o,1
real,j_p,12
real,j_s,9
real,p_z,5
real,j_v,7
real,j_w,4
real,p_v,38
real,p_w,5
real,p_t,74
real,p_s,49
real,Z_p,32
real,Z_s,27
real,Z_t,34
real,Z_v,19
real,Z_w,1
real,Z_y,1
real,Z_z,9
real,9_O,10
real,Z_a,1
real,Z_b,22
real,Z_d,22
real,Z_f,29
real,Z_g,14
real,Z_i,1
real,Z_j,8
real,Z_k,24
real,Z_l,28
real,Z_m,25
real,Z_n,24
real,9_@,2
real,9_y,4
real,9_u,14
real,9_o,5
real,9_n,1
real,9_i,13
real,9_b,1
real,9_a,13
real,)_5,21
real,)_2,9
real,)_o,25
real,)_m,1
real,)_l,4
real,)_k,4
real,)_i,20
real,)_e,19
real,)_d,1
real,)_b,1
real,)_a,30
real,)_y,24
real,)_v,2
real,)_u,23
real,)_t,1
real,)_s,1
real,)_O,10
real,)_E,29
real,)_@,29
real,)_Z,2
real,)_S,3
real,)_R,4
real,i_o,39
real,i_m,2
real,i_l,1
real,i_k,4
real,i_y,35
real,i_u,40
real,i_p,1
real,S_p,43
real,S_s,29
real,S_u,1
real,S_t,47
real,S_v,27
real,S_y,1
real,S_z,7
real,S_a,2
real,S_b,29
real,S_d,27
real,S_g,18
real,S_f,21
real,S_i,1
real,S_k,41
real,S_j,14
real,S_m,40
real,S_l,48
real,S_o,1
real,S_n,25
real,S_Z,16
real,(_u,1
real,v_w,1
real,v_y,2
real,v_z,8
real,5_9,1
real,5_@,28
real,5_E,22
real,5_O,5
real,5_S,4
real,(_a,2
real,5_Z,1
real,(_i,3
real,5_a,35
real,m_o,2
real,m_n,32
real,5_e,24
real,5_k,3
real,5_i,21
real,1_@,1
real,5_o,20
real,5_n,1
real,5_m,2
real,5_l,3
real,m_z,11
real,m_y,1
real,5_p,1
real,5_u,23
real,5_t,1
real,m_s,53
real,5_y,23
real,m_p,76
real,m_w,2
real,m_v,34
real,m_u,1
real,m_t,54
real,l_z,16
real,s_t,58
real,s_w,1
real,s_v,32
real,s_y,2
real,s_z,7
real,R_y,8
real,R_z,18
real,R_p,40
real,R_s,52
real,R_t,72
real,R_v,29
real,R_w,8
real,R_i,3
real,R_j,33
real,R_k,51
real,R_l,103
real,R_m,50
real,R_n,44
real,R_o,9
real,R_a,6
real,R_b,30
real,R_d,38
real,R_e,4
real,R_f,35
real,R_g,19
real,R_Z,30
real,R_S,39
real,o_v,1
real,2_9,1
real,o_s,2
real,2_5,9
real,2_O,2
