lexicon,pairs,count
real,)_u,4
real,d_z,14
real,d_x,1
real,d_r,21
real,d_s,1
real,d_p,9
real,d_v,18
real,d_t,14
real,d_u,1
real,d_j,7
real,d_k,11
real,d_h,15
real,d_i,3
real,d_n,16
real,d_l,19
real,d_m,7
real,d_f,10
real,d_g,15
real,j_k,3
real,j_l,7
real,j_m,3
real,j_n,5
real,j_p,5
real,j_r,8
real,j_t,4
real,j_v,6
real,p_y,2
real,p_v,15
real,p_t,31
real,p_u,3
real,p_r,24
real,p_s,16
real,Z_r,1
real,Z_t,1
real,Z_k,1
real,)_/,1
real,h_r,17
real,n_z,15
real,r_t,35
real,)_o,6
real,)_i,10
real,h_z,18
real,)_e,8
real,)_a,11
real,)_|,1
real,)_y,5
real,/_o,1
real,)_O,3
real,)_I,2
real,)_E,5
real,/_Y,1
real,/_E,1
real,)_Y,1
real,/_O,1
real,i_o,20
real,i_n,3
real,i_m,2
real,i_l,5
real,i_k,3
real,i_z,4
real,i_y,5
real,i_x,2
real,i_u,34
real,i_t,6
real,i_s,2
real,i_r,9
real,S_p,17
real,S_s,14
real,Y_|,1
real,S_t,19
real,Y_y,1
real,S_v,22
real,S_x,6
real,S_z,17
real,Y_o,3
real,S_b,20
real,S_d,13
real,S_g,9
real,S_f,22
real,S_i,1
real,S_h,18
real,Y_e,5
real,S_j,2
real,S_m,19
real,S_l,23
real,Y_a,1
real,S_n,17
real,I_O,22
real,v_z,22
real,I_Y,4
real,I_U,22
real,I_o,4
real,I_i,9
real,I_e,9
real,I_a,11
real,I_|,4
real,I_y,3
real,I_u,7
real,m_n,19
real,m_z,23
real,m_x,14
real,m_s,11
real,m_r,29
real,m_p,21
real,m_v,25
real,m_u,3
real,m_t,26
real,S_r,16
real,+_J,1
real,s_u,3
real,s_t,25
real,s_y,2
real,s_x,16
real,s_z,3
real,S_a,2
real,+_S,3
real,o_v,1
real,+_N,1
real,+_@,1
real,S_k,34
real,+_y,2
real,+_z,7
real,+_p,2
real,+_r,6
real,+_t,6
real,+_v,7
real,+_h,5
real,+_k,12
real,+_m,6
real,+_l,8
real,+_n,3
real,+_b,4
real,+_g,3
real,+_f,6
real,l_r,86
real,l_s,24
real,l_p,20
real,f_g,29
real,+_=,1
real,l_t,33
real,l_u,6
real,f_l,25
real,f_m,29
real,l_x,17
real,f_o,1
real,f_h,20
real,f_i,2
real,f_j,6
real,f_k,23
real,f_t,33
real,f_u,3
real,f_v,21
real,f_p,17
real,f_r,22
real,f_s,11
real,p_z,9
real,l_n,55
real,f_z,13
real,l_m,32
real,O_U,6
real,p_x,8
real,O_Y,8
real,j_z,3
real,r_x,4
real,r_y,1
real,r_z,26
real,O_|,1
real,r_s,18
real,O_y,5
real,r_u,4
real,r_v,32
real,O_e,11
real,O_a,17
real,O_m,1
real,O_o,4
real,O_i,5
real,E_u,7
real,E_y,3
real,E_|,1
real,E_a,24
real,E_e,8
real,E_i,12
real,E_o,7
real,y_|,2
real,E_U,14
real,E_Y,7
real,E_I,22
real,E_O,21
real,k_t,37
real,l_v,37
real,e_u,9
real,e_t,2
real,e_y,13
real,e_|,1
real,l_z,23
real,e_i,20
real,e_o,25
real,f_n,25
real,o_u,11
real,o_t,1
real,&_/,3
real,o_|,2
real,o_y,12
real,N_S,2
real,N_x,3
real,N_t,4
real,N_p,2
real,N_r,7
real,N_s,6
real,N_l,5
real,N_m,7
real,N_n,6
real,N_k,6
real,N_f,3
real,N_g,1
real,U_a,5
real,U_e,3
real,U_i,2
real,U_o,5
real,U_u,1
real,U_y,1
real,U_|,1
real,f_x,18
real,U_Y,7
real,x_z,7
real,x_y,1
real,J_u,1
real,b_h,22
real,b_j,4
real,b_k,18
real,b_l,21
real,b_m,19
real,b_n,13
real,b_d,22
real,b_f,28
real,b_g,26
real,b_x,2
real,b_z,19
real,b_p,11
real,b_r,27
real,b_s,4
real,b_t,21
real,b_u,3
real,b_v,26
real,h_v,34
real,h_t,13
real,n_x,22
real,h_p,12
real,n_t,39
real,n_u,1
real,n_v,20
real,n_p,19
real,n_r,61
real,n_s,27
real,n_o,1
real,h_n,12
real,h_o,1
real,h_l,26
real,h_m,17
real,h_j,3
real,h_k,23
real,u_y,2
real,u_|,1
real,O_u,9
real,=_z,12
real,=_y,2
real,=_x,5
real,=_s,8
real,=_r,18
real,=_p,7
real,=_v,19
real,=_t,17
real,=_k,17
real,=_j,5
real,=_h,7
real,=_n,11
real,=_m,12
real,=_l,12
real,=_b,14
real,=_g,6
real,=_f,14
real,=_d,8
real,=_Z,1
real,J_b,1
real,J_f,1
real,J_g,1
real,=_S,11
real,J_k,2
real,J_m,2
real,J_n,2
real,J_p,1
real,=_J,1
real,J_s,1
real,J_t,2
real,=_N,4
real,=_@,5
real,a_v,3
real,a_u,20
real,a_t,4
real,a_r,5
real,a_p,1
real,a_|,4
