lang	lexicon	avg_feature_diff	n
English real 1.8	25
English 24 1.88 25
English 25 1.72 25
English 26 1.96 25
English 27 1.84 25
English 20 1.92 25
English 21 1.88 25
English 22 1.8 25
English 23 1.92 25
English 28 1.8 25
English 1 1.84 25
English 0 1.8 25
English 3 1.76 25
English 2 1.76 25
English 5 2.0 25
English 4 1.84 25
English 7 1.92 25
English 6 1.96 25
English 9 1.88 25
English 8 1.84 25
English 11 1.88 25
English 10 1.92 25
English 13 1.8 25
English 12 1.84 25
English 15 1.96 25
English 14 1.84 25
English 17 1.84 25
English 16 1.92 25
English 19 1.88 25
English 18 1.96 25
Dutch real 1.94444444444	18
Dutch 24 2.0 18
Dutch 25 1.94444444444 18
Dutch 26 1.94444444444 18
Dutch 27 1.94444444444 18
Dutch 20 2.05555555556 18
Dutch 21 2.05555555556 18
Dutch 22 2.05555555556 18
Dutch 23 1.94444444444 18
Dutch 28 2.0 18
Dutch 1 2.0 18
Dutch 0 2.05555555556 18
Dutch 3 2.0 18
Dutch 2 2.0 18
Dutch 5 1.94444444444 18
Dutch 4 2.0 18
Dutch 7 1.94444444444 18
Dutch 6 1.94444444444 18
Dutch 9 2.05555555556 18
Dutch 8 1.94444444444 18
Dutch 11 2.0 18
Dutch 10 1.94444444444 18
Dutch 13 1.94444444444 18
Dutch 12 2.05555555556 18
Dutch 15 2.0 18
Dutch 14 2.0 18
Dutch 17 2.05555555556 18
Dutch 16 2.0 18
Dutch 19 1.94444444444 18
Dutch 18 2.0 18
French real 1.89473684211	19
French 24 1.94736842105 19
French 25 1.84210526316 19
French 26 1.78947368421 19
French 27 1.89473684211 19
French 20 2.0 19
French 21 1.94736842105 19
French 22 1.84210526316 19
French 23 1.89473684211 19
French 28 1.73684210526 19
French 1 1.89473684211 19
French 0 2.05263157895 19
French 3 2.0 19
French 2 2.05263157895 19
French 5 1.94736842105 19
French 4 2.0 19
French 7 2.05263157895 19
French 6 2.0 19
French 9 1.84210526316 19
French 8 1.94736842105 19
French 11 2.0 19
French 10 1.94736842105 19
French 13 1.94736842105 19
French 12 1.89473684211 19
French 15 2.05263157895 19
French 14 1.89473684211 19
French 17 1.94736842105 19
French 16 1.78947368421 19
French 19 1.94736842105 19
French 18 1.89473684211 19
German real 1.77777777778	18
German 24 1.94444444444 18
German 25 2.05555555556 18
German 26 2.11111111111 18
German 27 2.11111111111 18
German 20 1.94444444444 18
German 21 1.55555555556 18
German 22 2.0 18
German 23 1.83333333333 18
German 28 2.0 18
German 1 1.94444444444 18
German 0 1.66666666667 18
German 3 1.83333333333 18
German 2 2.22222222222 18
German 5 1.83333333333 18
German 4 1.72222222222 18
German 7 1.88888888889 18
German 6 1.88888888889 18
German 9 1.83333333333 18
German 8 2.0 18
German 11 1.77777777778 18
German 10 1.94444444444 18
German 13 2.11111111111 18
German 12 1.77777777778 18
German 15 1.94444444444 18
German 14 1.88888888889 18
German 17 1.83333333333 18
German 16 2.0 18
German 19 1.94444444444 18
German 18 1.83333333333 18
