lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,14520,17479,4.7990181721,4614,0.226065386414,0.321750546382,0.64044213264,83,125,1,7475,7045,288,170,288,170,9037,5691,3872,4.25902599287,7.80425830189,10.6211249703,11.37264732,10.870446769,0.0,0.0225400953619,0.321413090594,0.812743823147,0.974642392718,4.06088041611,7.49504049646,10.1926918377,11.1091688496,10.7437032963,0.000216731686173,0.0229735587343,0.310143042913,0.754876462939,0.941265713047
0,0,0,12505,15333,4.81367530427,4614,0.22323740546,0.314646610083,0.720632856524,72,108,1,7286,5219,262,137,262,137,8925,5072,3430,4.31634206077,7.88341643026,10.5482064205,11.2179954911,10.7882846638,0.000433463372345,0.0151712180321,0.240355439965,0.710879930646,0.939748591244,4.14204140352,7.60222937022,10.2290548955,11.0564507385,10.7067500899,0.000216731686173,0.0208062418726,0.2837017772,0.708279150412,0.921326397919
1,0,0,12400,15287,4.81298352943,4614,0.217382027908,0.312602492218,0.713914174252,72,102,3,7079,5321,252,152,252,152,8795,4997,3392,4.32582775804,7.91476205315,10.59231998,11.2466704017,10.7863817919,0.000216731686173,0.0171218032076,0.245123537061,0.727568270481,0.939531859558,4.13401045448,7.55173657683,10.2123078515,11.0434992551,10.6889301969,0.000216731686173,0.0173385348938,0.274165583008,0.704161248375,0.916991764196
2,0,0,12977,16040,4.80526284484,4614,0.217360637608,0.31584371983,0.707628955353,81,107,1,7282,5695,257,141,257,141,9092,5280,3439,4.28322913276,7.86707459882,10.5389990234,11.2092835711,10.7722128986,0.0,0.01755526658,0.245340268747,0.709146077156,0.936714347638,4.12074715981,7.58653425534,10.2016113288,11.064562362,10.7051265081,0.000216731686173,0.0166883398353,0.277633289987,0.708495882098,0.926094495015
3,0,0,12590,15528,4.80936444384,4614,0.219484468422,0.311747549606,0.704161248375,75,92,4,7164,5426,247,145,247,145,8891,4959,3550,4.3048684386,7.8685145628,10.5283165486,11.2086259527,10.7791790586,0.0,0.0166883398353,0.242956220199,0.710879930646,0.939315127872,4.13851089696,7.59596035114,10.2346473067,11.0795204931,10.7118678269,0.000433463372345,0.01755526658,0.277199826615,0.7162982228,0.926094495015
4,0,0,12699,15599,4.81186101621,4614,0.216290731286,0.316444515441,0.705678370178,68,104,2,7138,5561,246,145,246,145,8818,5124,3534,4.33442363703,7.88506501666,10.5548311224,11.2390334895,10.7877851987,0.0,0.0149544863459,0.237321196359,0.731469440832,0.938881664499,4.13580963702,7.60883725634,10.2343198264,11.0838474687,10.709471554,0.000216731686173,0.0177719982661,0.274165583008,0.714564369311,0.921759861292
5,0,0,12609,15452,4.81364166458,4614,0.221645080306,0.316330068475,0.703077589944,65,111,3,7124,5485,256,155,256,155,8840,5034,3551,4.30273707113,7.86542604086,10.5773642109,11.2332933989,10.7880349312,0.0,0.0225400953619,0.249458170785,0.720416124837,0.940615517989,4.14046118043,7.60788589312,10.2375686822,11.0818800036,10.6864667066,0.0,0.0156046814044,0.273298656264,0.717381881231,0.918942349371
6,0,0,12835,15831,4.80783393194,4614,0.224280813724,0.318068717963,0.718682271348,69,108,0,7356,5479,253,135,253,135,9089,5259,3419,4.30870297846,7.84762922298,10.5266161778,11.2008517348,10.7789801999,0.0,0.0164716081491,0.241439098396,0.708279150412,0.937798006068,4.12168518007,7.57526799329,10.2159206991,11.0726097598,10.7080055119,0.000216731686173,0.0186389250108,0.26896402254,0.706978760295,0.92414390984
7,0,0,12696,15634,4.81461261126,4614,0.227448291409,0.316074096914,0.706545296922,71,90,1,7192,5504,240,158,240,158,8963,5189,3474,4.30876311998,7.87052107229,10.5620783193,11.2104352681,10.7672534806,0.0,0.0132206328565,0.250325097529,0.713047247508,0.935197225834,4.1438303886,7.5987364521,10.2273699655,11.0750507958,10.7172213872,0.000216731686173,0.0208062418726,0.277199826615,0.712180320763,0.92414390984
8,0,0,12636,15613,4.81304103638,4614,0.215260497367,0.319850375457,0.703944516688,74,108,2,7178,5458,258,142,258,142,8915,5111,3505,4.32658850771,7.85953392355,10.5405963549,11.2056141146,10.7667540155,0.000216731686173,0.0149544863459,0.237104464673,0.711963589077,0.9325964456,4.14526463384,7.61855583975,10.2555732582,11.0885747069,10.7197144351,0.000216731686173,0.0177719982661,0.273298656264,0.707845687039,0.924577373212
9,0,0,12825,15920,4.80668708164,4614,0.216088115389,0.310424046466,0.706762028609,68,109,4,7309,5516,242,144,242,144,9166,5029,3575,4.29640027266,7.84542423181,10.5457343288,11.2302160327,10.7885543148,0.0,0.0173385348938,0.250325097529,0.726267880364,0.939315127872,4.1179044668,7.56439660014,10.1864894175,11.0438393905,10.6781846116,0.000216731686173,0.0184221933247,0.271998266147,0.703077589944,0.911790203728
10,0,0,12634,15512,4.81118888018,4614,0.221636712097,0.314707737342,0.715864759428,65,95,2,7137,5497,231,141,231,141,8807,5072,3367,4.29614792824,7.85843679566,10.5620971724,11.223852801,10.7710791429,0.0,0.0162548764629,0.249024707412,0.723233636758,0.936064152579,4.1119293175,7.53710938622,10.2047313259,11.0689971884,10.6970101941,0.000216731686173,0.0192891200694,0.277416558301,0.714564369311,0.923276983095
11,0,0,12563,15500,4.80849272485,4614,0.216437482696,0.312990029078,0.702860858257,66,99,2,7193,5370,248,146,248,146,8906,4984,3446,4.29885819386,7.87433824467,10.5630919743,11.2341525166,10.7775767932,0.000433463372345,0.0169050715215,0.243172951886,0.719765929779,0.937581274382,4.12190523916,7.57037628338,10.2249175693,11.0587567969,10.7034438113,0.000216731686173,0.0195058517555,0.275682704811,0.707628955353,0.920026007802
12,0,0,12846,15838,4.80968383296,4614,0.222431306145,0.314396316742,0.70892934547,77,107,2,7378,5468,259,150,259,150,9133,5231,3509,4.29848073364,7.87395761977,10.5360152479,11.2140706407,10.7777116187,0.0,0.0179887299523,0.241655830082,0.712180320763,0.936497615951,4.12733125794,7.57703868391,10.1988230659,11.0685518808,10.7135483466,0.0,0.0162548764629,0.277633289987,0.707628955353,0.922193324664
13,0,0,12635,15532,4.8126324739,4614,0.223974937125,0.320000560986,0.704594711747,72,108,3,7134,5501,259,147,259,147,8822,5130,3459,4.293377699,7.86571040176,10.5516867422,11.2253281906,10.7861121408,0.0,0.0182054616385,0.244256610316,0.720416124837,0.940832249675,4.13725448608,7.60640152856,10.2360400822,11.0725089085,10.7265898842,0.000216731686173,0.0197225834417,0.275032509753,0.707195491981,0.928695275249
