lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,13237,16637,4.95285503561,5343,0.195364860586,0.302467146844,0.717012914093,69,68,1,2973,10264,156,151,156,151,4378,5348,2226,4.22249746601,7.74993455697,10.5841091225,11.5412218161,11.222238008,0.0,0.0174059517125,0.2376941793,0.663672094329,0.895751450496,3.43328671263,6.99155386015,9.84071761392,11.2058701095,11.1689095417,0.000187160771102,0.0140370578327,0.222908478383,0.644956017219,0.906981096762
0,0,0,11775,15105,4.97305109125,5343,0.193735115197,0.296154880344,0.720007486431,62,67,1,4664,7111,162,134,162,134,6225,4774,2217,4.25588291826,7.78092017363,10.486553193,11.3757607009,11.1480033749,0.000187160771102,0.0129140932061,0.189406700356,0.582069998128,0.867115852517,3.54505517888,7.09234414168,9.91737844861,11.2280636417,11.1573319395,0.000187160771102,0.0140370578327,0.197267452742,0.610144113794,0.889013662736
1,0,0,11365,14720,4.96736367412,5343,0.19219415878,0.294161761555,0.716638592551,64,61,1,4419,6946,156,125,156,125,6018,4641,2117,4.26197956515,7.79462541518,10.5002393039,11.409583696,11.1548841233,0.000374321542205,0.0102938424106,0.18341755568,0.590305072057,0.869923264084,3.54153679909,7.09394858991,9.92688813183,11.2233492713,11.1637661671,0.000374321542205,0.0119782893506,0.198951899682,0.613887329216,0.888639341194
2,0,0,11492,14780,4.96871780437,5343,0.191448149787,0.296946349713,0.726370952648,64,65,2,4591,6901,162,133,162,133,6154,4790,2098,4.2713401157,7.80528925296,10.514360803,11.4149378272,11.1651723761,0.0,0.0132884147483,0.187909414187,0.583941605839,0.872543514879,3.5471871929,7.10826443867,9.92254784684,11.2042901836,11.1553810165,0.0,0.0121654501217,0.198203256597,0.601347557552,0.885831929628
3,0,0,11333,14682,4.9760105578,5343,0.192767477317,0.297269385949,0.720007486431,64,63,2,4582,6751,162,127,162,127,6088,4702,2057,4.28730521592,7.83279279941,10.5416807665,11.4120699628,11.1588078826,0.0,0.0117911285794,0.185663484934,0.588620625117,0.873104997193,3.55480962377,7.10563810843,9.89480255637,11.2119462561,11.1651618168,0.000187160771102,0.0102938424106,0.194272880404,0.614823133071,0.890323788134
4,0,0,11922,15235,4.96768284945,5343,0.193048489299,0.298767412263,0.720194647202,64,62,0,4652,7270,167,127,167,127,6235,4874,2171,4.25221108426,7.78121506633,10.5029200366,11.392961467,11.1722523358,0.0,0.0117911285794,0.176118285607,0.58057271196,0.876286730301,3.54668152963,7.08707676168,9.92986772178,11.2480207759,11.1833794228,0.000187160771102,0.0134755755194,0.193337076549,0.614448811529,0.898933183605
5,0,0,11892,15181,4.96781990916,5343,0.192062678738,0.304854960758,0.721130451057,60,66,1,4568,7324,160,128,160,128,6058,4961,2144,4.25422795175,7.7870756174,10.4915555416,11.402423935,11.1884570588,0.0,0.0119782893506,0.187160771102,0.585251731237,0.880029945723,3.54126001387,7.11383119599,9.92190461789,11.2293423622,11.1656181064,0.0,0.0106681639528,0.198016095826,0.618753509264,0.894254164327
6,0,0,11471,14780,4.97533492914,5343,0.187969382699,0.293453487582,0.719446004118,58,52,3,4581,6890,144,137,144,137,6099,4668,2098,4.25123074308,7.77902061523,10.5118437567,11.3823159362,11.1680807539,0.000187160771102,0.0121654501217,0.181358787198,0.581321355044,0.874976604904,3.54845913447,7.12542770389,9.98427083208,11.2569356175,11.1765039566,0.0,0.0132884147483,0.195583005802,0.610518435336,0.895938611267
7,0,0,11308,14527,4.97479986375,5343,0.187641287404,0.28913053287,0.716638592551,66,65,1,4469,6839,165,124,165,124,6006,4673,2097,4.27154510521,7.82984166835,10.5452026354,11.4420897475,11.18190168,0.0,0.0136627362905,0.194085719633,0.597791502901,0.880965749579,3.55389793299,7.11026670046,9.9470979651,11.2568286062,11.1956390302,0.000374321542205,0.0117911285794,0.194272880404,0.620999438518,0.902676399027
8,0,0,11115,14338,4.97913090834,5343,0.182216129373,0.293005831742,0.710462287105,75,61,1,4330,6785,166,128,166,128,5839,4634,2122,4.27674283717,7.82081597937,10.5228906189,11.4347498149,11.1632901976,0.000187160771102,0.012726932435,0.189032378813,0.594796930563,0.873292157964,3.58191731841,7.13053748463,9.96925021676,11.2437819552,11.1586346385,0.0,0.0119782893506,0.199513381995,0.613887329216,0.888452180423
9,0,0,11266,14498,4.97262610807,5343,0.193140717444,0.297541833163,0.717200074864,66,56,0,4527,6739,155,135,155,135,6047,4702,2043,4.2675143541,7.81196245704,10.5390012998,11.4023819358,11.1552157802,0.0,0.0125397716639,0.182668912596,0.594422609021,0.871607711024,3.5722512301,7.09986475783,9.93091413284,11.2201455134,11.1527702611,0.000374321542205,0.0104810031817,0.203443758188,0.616694740782,0.891821074303
10,0,0,11556,14847,4.97467247391,5343,0.190831342916,0.301138137201,0.716638592551,45,56,1,4523,7033,132,129,132,129,6002,4765,2135,4.27836872594,7.83945505807,10.544689596,11.4253275599,11.1679618956,0.0,0.0106681639528,0.18173310874,0.59760434213,0.877222534157,3.5554512631,7.09807636889,9.92670012297,11.256797628,11.1845773845,0.000187160771102,0.0114168070372,0.198390417369,0.618753509264,0.898558862063
11,0,0,11662,14911,4.97772149174,5343,0.190658491973,0.29700292265,0.71645143178,66,59,1,4673,6989,155,125,155,125,6230,4847,2138,4.27839405136,7.82468798934,10.5377992099,11.4232669134,11.1751884012,0.000374321542205,0.0106681639528,0.19015534344,0.597978663672,0.879094141868,3.56768423076,7.12242493019,9.94046308523,11.2440819417,11.1739179203,0.0,0.0114168070372,0.194834362718,0.613138686131,0.896874415123
12,0,0,11622,15032,4.96753023389,5343,0.1893445372,0.299793405602,0.720381807973,59,57,1,4571,7051,147,126,147,126,6165,4751,2220,4.26168847942,7.8228872198,10.519948494,11.4256223745,11.1715680983,0.000187160771102,0.0123526108928,0.189406700356,0.591428036684,0.875350926446,3.54655633292,7.08643200944,9.90511853244,11.2279378931,11.1507614113,0.000187160771102,0.0106681639528,0.1968931312,0.610331274565,0.888265019652
13,0,0,11552,14953,4.97112517818,5343,0.193144288484,0.298066281545,0.725435148793,61,60,0,4496,7056,158,143,158,143,6108,4817,2148,4.27382953303,7.80853385826,10.5071103475,11.4098592985,11.1831079468,0.000187160771102,0.012726932435,0.181545947969,0.591053715141,0.880591428037,3.54718955788,7.07597215371,9.91998479651,11.2164647893,11.1378745839,0.0,0.011042485495,0.198764738911,0.616507580011,0.886954894254
14,0,0,11717,14932,4.97627591828,5343,0.197604818833,0.303067242708,0.71139809096,74,63,0,4475,7242,172,119,172,119,5962,4829,2166,4.24774973357,7.79899521059,10.5165752211,11.4099495047,11.1737318199,0.000187160771102,0.0140370578327,0.182294591054,0.588246303575,0.877222534157,3.54482339077,7.12395563951,9.96695453433,11.265861541,11.1743377431,0.000187160771102,0.0106681639528,0.201010668164,0.626239940109,0.89818454052
15,0,0,11580,14886,4.97483391846,5343,0.193214995296,0.301356120673,0.70802919708,70,64,2,4538,7042,173,112,173,112,6080,4812,2142,4.28470117502,7.81918979078,10.5192901607,11.40640966,11.1764399969,0.000561482313307,0.0108553247239,0.183791877223,0.586000374322,0.878719820326,3.5641881198,7.11409315402,9.95894018925,11.2452157891,11.1530815459,0.000187160771102,0.0121654501217,0.198764738911,0.624929814711,0.892008235074
16,0,0,11771,14990,4.97511665666,5343,0.185388480861,0.29802670632,0.715889949467,61,67,4,4572,7199,164,126,164,126,6067,4900,2127,4.2725406042,7.81520191786,10.5319333974,11.4142680509,11.1477671607,0.0,0.0117911285794,0.1884708965,0.593112483623,0.868238817144,3.53685410055,7.09985969636,9.94930172871,11.2856957816,11.1995290094,0.000187160771102,0.0112296462661,0.197080291971,0.621560920831,0.900430469774
17,0,0,11232,14515,4.97521286472,5343,0.190400946361,0.293211186114,0.712708216358,73,55,1,4414,6818,153,127,153,127,5905,4552,2147,4.25467459438,7.7960802745,10.497992664,11.4129404717,11.1933961996,0.0,0.0116039678083,0.18173310874,0.585438892008,0.886954894254,3.55835552758,7.13256600285,9.95802046242,11.2421159113,11.1603936867,0.000187160771102,0.0140370578327,0.19857757814,0.627175743964,0.894254164327
18,0,0,11394,14606,4.97737134484,5343,0.190808251092,0.297427352792,0.71139809096,62,59,2,4464,6930,159,120,159,120,5923,4732,2043,4.26672339109,7.81710414481,10.5364799526,11.4271507873,11.1665428302,0.000374321542205,0.0121654501217,0.188283735729,0.600037432154,0.875912408759,3.5701699929,7.1179197436,9.92359558311,11.2305066853,11.1417597783,0.000187160771102,0.0138498970616,0.187722253416,0.613138686131,0.886580572712
19,0,0,11706,15072,4.96789467536,5343,0.192706727744,0.29867661299,0.717574396407,68,62,1,4589,7117,178,108,178,108,6157,4932,2106,4.25317214154,7.79657456577,10.4876488842,11.4002356809,11.1553331361,0.000187160771102,0.0129140932061,0.181171626427,0.583192962755,0.870484746397,3.53669746537,7.09208027261,9.91928093859,11.2407070844,11.1584797667,0.0,0.0129140932061,0.195957327344,0.618379187722,0.886767733483
20,0,0,11516,14748,4.96503492044,5343,0.195151084468,0.295612527095,0.710087965562,63,69,1,4562,6954,163,115,163,115,6053,4825,2055,4.27584014796,7.80598959378,10.5315171338,11.4295266794,11.1729151367,0.0,0.0138498970616,0.19183979038,0.598540145985,0.880404267266,3.53681367105,7.08145339638,9.9077996962,11.1993242181,11.1568395769,0.000187160771102,0.0108553247239,0.197454613513,0.615384615385,0.891072431218
21,0,0,11466,14676,4.9785744011,5343,0.193490959398,0.302994162325,0.715702788695,59,48,3,4511,6955,146,127,146,127,5959,4856,2050,4.29189603729,7.83680469797,10.5489068095,11.4301488407,11.1692510072,0.000187160771102,0.0123526108928,0.185663484934,0.593486805166,0.875912408759,3.549789149,7.1267981627,9.95417573468,11.2165121598,11.1576177546,0.0,0.0106681639528,0.195957327344,0.611454239191,0.888077858881
22,0,0,11543,14829,4.9781668657,5343,0.191360394399,0.296825776975,0.715141306382,59,68,2,4483,7060,162,129,162,129,5995,4759,2103,4.25290804978,7.80584055701,10.5156134154,11.4350827652,11.1580052997,0.0,0.0117911285794,0.177054089463,0.597791502901,0.87104622871,3.58426278193,7.13102340532,9.94173821781,11.2352019011,11.1714611068,0.000187160771102,0.0121654501217,0.189219539585,0.609956953023,0.892008235074
23,0,0,11537,14743,4.9778902938,5343,0.190573769467,0.298171300616,0.713644020213,61,58,3,4417,7120,159,129,159,129,5907,4784,2069,4.27744798773,7.82924621912,10.5310923383,11.4135078429,11.1721125537,0.000187160771102,0.0125397716639,0.182107430283,0.591428036684,0.875725247988,3.56208619225,7.12799112965,9.96527072905,11.2721201319,11.1681119825,0.0,0.0108553247239,0.201946472019,0.630918959386,0.891821074303
24,0,0,11475,14741,4.97430270701,5343,0.195045585395,0.299246905929,0.704285981658,60,65,2,4410,7065,150,115,150,115,5921,4756,2119,4.25538672093,7.80161117765,10.5147680281,11.4112323273,11.1605820206,0.0,0.0112296462661,0.191278308067,0.592925322852,0.873292157964,3.56686019951,7.10454993369,9.96298034188,11.2640771604,11.1782045651,0.0,0.0114168070372,0.200823507393,0.624181171626,0.89818454052
