lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662,0.662901403905,131,193,120,10028,8480,510,197,510,197,12250,8289,5081,4.39234187549,8.0054201918,10.8899157885,11.7469455126,11.3675037908,0.000161368404066,0.016943682427,0.285783443602,0.773761497499,0.963369372277,4.39696085437,7.77168555922,10.6522577448,11.6288448485,11.3315362513,0.0,0.0135549459416,0.274487655317,0.736969501372,0.952234952396
0,0,0,16734,20875,4.96744504437,6197,0.214420042732,0.330725825456,0.691302243021,120,158,116,9332,7402,459,178,459,178,11659,7376,4764,4.40389588359,8.01624890416,10.7817898384,11.5811102725,11.3061052292,0.000161368404066,0.0122639987091,0.225754397289,0.682749717605,0.939648216879,4.43548933523,7.84945762884,10.6190504315,11.5516668504,11.2991920886,0.0,0.0127481039213,0.239470711635,0.690495401,0.939648216879
1,0,0,16392,20639,4.96261013862,6197,0.216104373749,0.3243972097,0.688397611748,112,155,98,8758,7634,434,158,434,158,11102,7101,4766,4.41927950736,8.01522298577,10.7823128089,11.5822824438,11.3153751117,0.0,0.0117798934969,0.22381797644,0.676456349847,0.941584637728,4.42967215236,7.79642512725,10.5713070072,11.5276792752,11.3025452434,0.000161368404066,0.0122639987091,0.23769565919,0.680651928352,0.93771179603
2,0,0,16537,20719,4.9657301014,6197,0.225001173742,0.333366812973,0.689204453768,131,159,101,9019,7518,462,161,462,161,11280,7312,4746,4.45549054745,8.04538287483,10.7719293636,11.5824254606,11.3121641647,0.0,0.0129094723253,0.216556398257,0.680006454736,0.94126190092,4.42957969867,7.83903649188,10.5886110508,11.5218484667,11.2906158112,0.000161368404066,0.0158141035985,0.244795868969,0.685654348878,0.93609811199
3,0,0,16820,21022,4.96089233081,6197,0.218792089897,0.336033629217,0.694368242698,137,157,96,9148,7672,458,172,458,172,11414,7538,4810,4.4381806411,8.0465302941,10.7963798728,11.5947981507,11.3310977165,0.000161368404066,0.0140390511538,0.216717766661,0.688720348556,0.949007584315,4.3942893421,7.76278113533,10.5327053821,11.4883775308,11.2621667535,0.0,0.0130708407294,0.242213974504,0.679683717928,0.927061481362
4,0,0,16762,21032,4.96251320299,6197,0.215838561965,0.328001196469,0.690979506213,118,153,106,9257,7505,447,186,447,186,11680,7334,4748,4.4001826839,8.00254632306,10.7803300819,11.5678544042,11.305581671,0.000161368404066,0.0129094723253,0.230272712603,0.677908665483,0.938357269647,4.41752292313,7.81725765398,10.5686763534,11.5202449842,11.2904504878,0.0,0.0148458931741,0.243020816524,0.679522349524,0.935614006777
5,0,0,16796,21012,4.96451134803,6197,0.217731614086,0.331552823933,0.686622559303,128,161,89,9173,7623,441,185,441,185,11442,7393,4811,4.41711908356,8.02671354808,10.7819847305,11.5661193304,11.3104853511,0.000161368404066,0.012102630305,0.220751976763,0.67581087623,0.939164111667,4.42127052264,7.81593773559,10.5886684707,11.5060253281,11.2915965472,0.0,0.0116185250928,0.250927868323,0.674358560594,0.937389059222
6,0,0,16670,21016,4.96525188212,6197,0.214143848379,0.326625850513,0.685492980474,108,159,110,9251,7419,445,179,445,179,11655,7309,4762,4.43637399518,8.03623178263,10.7995765869,11.5930455034,11.3126660905,0.000161368404066,0.0111344198806,0.212522188156,0.685977085687,0.940132322091,4.40859338162,7.82414231267,10.5611986681,11.5398886514,11.2991093287,0.0,0.0130708407294,0.234629659513,0.688074874939,0.939809585283
7,0,0,16187,20316,4.96865192169,6197,0.219091218215,0.330600406274,0.686299822495,123,169,95,8959,7228,461,164,461,164,11226,7185,4748,4.43984106853,8.04074625503,10.7915426715,11.5917515353,11.3092358762,0.000161368404066,0.0124253671131,0.212360819751,0.68533161207,0.938518638051,4.41524647585,7.78239022008,10.5512396844,11.5187967198,11.3004539999,0.0,0.0132322091335,0.245118605777,0.686461190899,0.939970953687
8,0,0,16882,21135,4.96650704494,6197,0.217262998366,0.32771234918,0.692593190253,112,175,95,9218,7664,453,207,453,207,11596,7378,4911,4.41834787538,8.03415865803,10.7888918297,11.5962792972,11.3091416567,0.0,0.0112957882847,0.220267871551,0.687752138131,0.940616427304,4.43708797313,7.81557091405,10.5788962423,11.5192388619,11.3127958619,0.0,0.0132322091335,0.23688881717,0.670324350492,0.943359690173
9,0,0,16707,20951,4.96343713867,6197,0.215970233572,0.3287214294,0.689365822172,114,164,100,9083,7624,448,182,448,182,11442,7348,4710,4.43071575518,8.03847971228,10.81029732,11.5926338821,11.3211653084,0.0,0.0127481039213,0.217363240278,0.685815717283,0.942714216556,4.41317266188,7.79130186247,10.5615759577,11.5127874205,11.2936614348,0.000161368404066,0.0125867355172,0.243020816524,0.682104243989,0.938518638051
10,0,0,16488,20725,4.96309278537,6197,0.214505553722,0.331198353856,0.690979506213,121,162,100,9113,7375,466,168,466,168,11466,7273,4816,4.42282564497,8.02218009909,10.7737449024,11.588998218,11.31581837,0.000161368404066,0.0129094723253,0.215426819429,0.677424560271,0.942391479748,4.40985671045,7.80363092413,10.5725866107,11.5250192517,11.3193783557,0.0,0.0129094723253,0.240438922059,0.682588349201,0.944327900597
11,0,0,16236,20358,4.96857576913,6197,0.216159043884,0.328847028973,0.692109085041,118,159,102,8926,7310,450,180,450,180,11237,7132,4712,4.44927447378,8.05956453611,10.8034399182,11.5941582859,11.2965805273,0.0,0.0116185250928,0.21784734549,0.681297401969,0.935936743586,4.41929220647,7.82165287213,10.5734181027,11.5490626013,11.2967194947,0.0,0.0132322091335,0.240600290463,0.689527190576,0.938034532838
12,0,0,16703,20885,4.96376716779,6197,0.219320283456,0.332539198311,0.692109085041,115,168,95,8979,7724,453,195,453,195,11311,7367,4849,4.427432057,8.02849698754,10.7878336621,11.5844933362,11.3100868408,0.000161368404066,0.0112957882847,0.215910924641,0.686945296111,0.939325480071,4.4077741538,7.78391182923,10.5540571422,11.5033639522,11.2908134462,0.0,0.0122639987091,0.234791027917,0.672744876553,0.935936743586
13,0,0,16646,20762,4.96491956113,6197,0.212302927877,0.32843087501,0.687268032919,113,178,100,9133,7513,449,174,449,174,11386,7433,4643,4.44910072303,8.03958995696,10.7988547934,11.5954694678,11.3285400992,0.0,0.0124253671131,0.223656608036,0.678392770695,0.948684847507,4.41418634068,7.8067009804,10.5906023025,11.5087263874,11.2949820136,0.0,0.0138776827497,0.244634500565,0.682426980797,0.937550427626
14,0,0,16680,20967,4.96715715439,6197,0.222183734207,0.334733803099,0.68968855898,121,181,108,9082,7598,478,162,478,162,11388,7481,4683,4.45237472296,8.05910588576,10.8032544805,11.598113314,11.3296737222,0.000161368404066,0.0112957882847,0.216879135065,0.687106664515,0.947071163466,4.39750661333,7.80009853908,10.5432667797,11.4973725281,11.288967826,0.000161368404066,0.0146845247701,0.240761658867,0.678070033887,0.934645796353
15,0,0,17050,21405,4.96182215243,6197,0.22203294667,0.327129009418,0.698079715992,130,171,99,9363,7687,480,215,480,215,11784,7447,4899,4.4074942078,8.00499374074,10.757168298,11.5751136455,11.3220518249,0.0,0.0116185250928,0.21349039858,0.676940455059,0.944327900597,4.41339357928,7.81256998021,10.5680668004,11.5017152099,11.2892813128,0.0,0.014523156366,0.245441342585,0.676294981443,0.937066322414
16,0,0,16976,21365,4.96355808684,6197,0.22552893037,0.332169562004,0.700500242053,122,172,101,9407,7569,466,166,466,166,11809,7496,4852,4.43998877145,8.02609634389,10.7797642556,11.5651588936,11.3091061047,0.0,0.0124253671131,0.223656608036,0.682265612393,0.939164111667,4.41154199645,7.80818545092,10.5469668719,11.5047382618,11.311555583,0.000161368404066,0.0140390511538,0.240761658867,0.673713086978,0.943198321769
17,0,0,16584,20805,4.96725278782,6197,0.220302630798,0.328806194459,0.698725189608,111,188,99,9075,7509,485,197,485,197,11354,7329,4678,4.43998801094,8.05239495492,10.8042014888,11.5858242253,11.3157241505,0.000161368404066,0.0116185250928,0.216556398257,0.678715507504,0.942230111344,4.40681334147,7.80376707658,10.5814725627,11.5438214197,11.3013405164,0.0,0.0142004195579,0.237534290786,0.687268032919,0.940616427304
18,0,0,16694,20866,4.96677337053,6197,0.215775932985,0.331917501305,0.694529611102,116,162,103,9037,7657,451,197,451,197,11295,7491,4710,4.43985841935,8.04230327605,10.7963253018,11.5856828056,11.3163558477,0.0,0.0127481039213,0.218008713894,0.678715507504,0.940455058899,4.41297774033,7.78820968337,10.5616155886,11.502364102,11.2890264935,0.0,0.014523156366,0.243343553332,0.676779086655,0.936259480394
19,0,0,16684,20903,4.96145238023,6197,0.213230440525,0.330315838305,0.693884137486,113,182,100,9068,7616,470,180,470,180,11364,7385,4743,4.43826626566,8.04038861861,10.8083538469,11.6081083302,11.3232070804,0.0,0.0106503146684,0.216072293045,0.690495401,0.945457479426,4.4096620203,7.78725590377,10.576962115,11.5523151328,11.3014131035,0.0,0.014523156366,0.241407132483,0.68371792803,0.938034532838
