lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,7464,9916,5.32805457518,6728,0.122055166375,0.311403980109,0.455856123662,60,44,38,5.29563454863,5.35602184222,198,73,198,73,4545,2974,2324,4.33139012123,7.75477941673,10.51913354,11.931596771,11.8849254216,0.0,0.0114447086801,0.201397146254,0.678210463734,0.922413793103,4.44930600623,7.88090481733,10.7364587651,12.0027706029,11.9247648454,0.000148632580262,0.0109988109394,0.206153388823,0.697681331748,0.945897740785
0,0,0,6760,9371,5.37153717242,6728,0.126870699382,0.298876045141,0.458977407848,48,56,34,5.32900577139,5.40822705756,190,72,190,72,4642,2361,2371,4.34993645176,7.77855347525,10.4558782598,11.7195213401,11.7607714426,0.0,0.00936385255648,0.149821640904,0.532253269917,0.853894173603,4.48261799801,7.95838667861,10.6877117749,11.8111666986,11.7787214665,0.000148632580262,0.00906658739596,0.166319857313,0.58516646849,0.868757431629
1,0,0,6967,9602,5.37199710044,6728,0.131170690049,0.293713909719,0.466854934602,61,52,37,5.33195696731,5.40653788324,208,84,208,84,4632,2377,2444,4.35064415097,7.76938421446,10.4376725802,11.6857447195,11.7339273626,0.0,0.00936385255648,0.143579072533,0.52274078478,0.842003567182,4.47451232819,7.92362790006,10.6688829223,11.7974814058,11.7712832668,0.0,0.010255648038,0.168697978597,0.582639714625,0.861623067776
2,0,0,6746,9323,5.36886686781,6728,0.125319501235,0.294098349131,0.456004756243,55,56,42,5.32725327816,5.40476499924,206,87,206,87,4604,2330,2517,4.33142461026,7.77155727751,10.4148165171,11.6890330917,11.7240039882,0.000148632580262,0.00713436385256,0.151307966706,0.525118906064,0.8411117717,4.48082276402,7.95682033701,10.6834818833,11.8121280674,11.7900864988,0.0,0.00817479191439,0.168252080856,0.584423305589,0.874256837099
3,0,0,6767,9242,5.37371962102,6728,0.122598326808,0.303736510949,0.454221165279,56,49,42,5.33181021854,5.40987293659,207,91,207,91,4531,2316,2443,4.36684126673,7.78049404336,10.4423329769,11.7031890718,11.7353929403,0.0,0.0077288941736,0.144470868014,0.524078478002,0.843489892985,4.50044533736,7.96740016034,10.6978740131,11.8080298143,11.8101761522,0.000148632580262,0.00847205707491,0.174346016647,0.57966706302,0.884066587396
4,0,0,6842,9460,5.37202264218,6728,0.127794108518,0.29819287437,0.476070154578,59,58,37,5.32877458006,5.4093307579,209,86,209,86,4691,2385,2549,4.35423140385,7.7728404056,10.4400057274,11.6922401376,11.723793727,0.000148632580262,0.00832342449465,0.149227110583,0.526753864447,0.839476813317,4.48396020585,7.97084785704,10.7003406823,11.8064938476,11.7997640144,0.0,0.00936385255648,0.17063020214,0.572532699168,0.876337693222
5,0,0,6808,9413,5.37400932972,6728,0.126964628002,0.294405719793,0.46046373365,50,40,27,5.33025046427,5.411758092,182,91,182,91,4597,2472,2364,4.35731404628,7.78477003439,10.4321139443,11.6862334764,11.7185731035,0.0,0.00995838287753,0.1475921522,0.523632580262,0.832342449465,4.47494972643,7.9381772883,10.7014742453,11.8113318173,11.8012156948,0.000148632580262,0.00817479191439,0.17048156956,0.575505350773,0.876783590963
6,0,0,7111,9803,5.36749720322,6728,0.129650324653,0.303574333116,0.461206896552,56,36,33,5.3249507156,5.40420010287,176,69,176,69,4876,2467,2430,4.33457309004,7.76204332187,10.4353045243,11.7066683905,11.7406090317,0.0,0.00683709869203,0.150862068966,0.526307966706,0.841854934602,4.47508961679,7.9325220768,10.6591937294,11.8019942481,11.78833559,0.000148632580262,0.010255648038,0.168252080856,0.572086801427,0.871284185493
7,0,0,6769,9344,5.3735032233,6728,0.123521140782,0.298822135489,0.451545778835,52,40,33,5.33315586083,5.40830903873,192,86,192,86,4616,2276,2441,4.37265205312,7.78587896478,10.4274082928,11.6811040246,11.7146534561,0.0,0.00668846611177,0.151307966706,0.521105826397,0.833531510107,4.48236352,7.94064418178,10.6586342402,11.8040967086,11.7882638304,0.0,0.00936385255648,0.171521997622,0.574762187872,0.873513674197
8,0,0,6675,9249,5.37274832799,6728,0.124622394164,0.297888549045,0.455856123662,46,52,42,5.3313130093,5.40849267326,196,78,196,78,4656,2432,2522,4.3295938526,7.74008038135,10.4111999543,11.6915112757,11.7330223078,0.0,0.00936385255648,0.14179548157,0.519173602854,0.840071343639,4.48920021657,7.94669849609,10.6553812307,11.8157279244,11.7982001043,0.000148632580262,0.00862068965517,0.162455410226,0.57951843044,0.876337693222
9,0,0,6972,9657,5.37261376988,6728,0.129024046518,0.304319622272,0.4548156956,58,48,43,5.33104307935,5.40847489421,218,91,218,91,4815,2347,2249,4.36061681802,7.77760375994,10.4518060433,11.703451758,11.7286870107,0.0,0.00787752675386,0.15324019025,0.526159334126,0.8411117717,4.47989103269,7.9495126925,10.6620276717,11.8107928525,11.7936739733,0.000148632580262,0.00728299643282,0.172413793103,0.578478002378,0.873959571938
10,0,0,6948,9678,5.36639020314,6728,0.125300390825,0.300281265286,0.462544589774,49,46,29,5.32272419905,5.4040588582,178,96,178,96,4737,2393,2397,4.35450216303,7.79996547912,10.4714578152,11.7053236187,11.7361802353,0.000148632580262,0.00728299643282,0.150862068966,0.530915576694,0.845719381688,4.48880031234,7.94598646096,10.6707253376,11.7849346635,11.7787903887,0.000148632580262,0.0108501783591,0.167211652794,0.568965517241,0.867865636147
11,0,0,6778,9354,5.37207801206,6728,0.126534219274,0.300970094487,0.456302021403,46,52,27,5.33049529998,5.40794950684,187,67,187,67,4594,2406,2470,4.34727846052,7.74280234707,10.428917556,11.6980977444,11.7247496306,0.000148632580262,0.00624256837099,0.14774078478,0.526605231867,0.840219976219,4.47555648641,7.92761227919,10.6626925361,11.7986138066,11.781511584,0.000148632580262,0.00787752675386,0.169589774078,0.57401902497,0.868014268728
12,0,0,6764,9314,5.37201835576,6728,0.123952986079,0.296087629907,0.449613555291,42,45,49,5.33051209308,5.40782390115,193,75,193,75,4647,2389,2396,4.34144070714,7.78949418407,10.4512955801,11.6983157553,11.7342879875,0.0,0.00683709869203,0.144173602854,0.528091557669,0.838139120095,4.46231875129,7.92566535789,10.6723877854,11.8096713318,11.7815510564,0.000297265160523,0.00832342449465,0.165725326992,0.582342449465,0.866825208086
13,0,0,6887,9513,5.37427844594,6728,0.129605021123,0.297019046791,0.461058263971,57,43,43,5.33206860324,5.41069093748,210,81,210,81,4602,2424,2335,4.36698936428,7.78137850334,10.4247968533,11.6962470273,11.71252637,0.0,0.0089179548157,0.154726516052,0.530023781213,0.833382877527,4.48349338243,7.95298991953,10.713784097,11.8244526096,11.7939032816,0.0,0.00862068965517,0.175386444709,0.587247324614,0.875594530321
14,0,0,6811,9408,5.37153580253,6728,0.125535643652,0.298773040506,0.458382877527,64,42,42,5.32816096412,5.40895328234,207,70,207,70,4727,2410,2360,4.34468526383,7.78159226007,10.4493951476,11.7075825164,11.7376558355,0.0,0.00995838287753,0.151605231867,0.531212841855,0.84661117717,4.46546598094,7.92273564083,10.6742335354,11.7946183944,11.792442236,0.000148632580262,0.00817479191439,0.168103448276,0.571938168847,0.874256837099
15,0,0,6963,9538,5.37318810543,6728,0.130339527099,0.2992489129,0.458680142687,46,39,44,5.3288688504,5.41142029006,198,80,198,80,4653,2480,2342,4.37723790364,7.80665411401,10.4502290738,11.7053341771,11.7459658049,0.0,0.00862068965517,0.148483947681,0.528983353151,0.849881093936,4.48281456085,7.95117103323,10.661281079,11.8164331599,11.7769320833,0.000148632580262,0.00817479191439,0.162158145065,0.583531510107,0.864595719382
16,0,0,6792,9348,5.37186784511,6728,0.123864656598,0.301528790488,0.461801426873,55,46,41,5.33074710102,5.40734082133,203,82,203,82,4535,2351,2482,4.35250088711,7.77192815682,10.4547768167,11.7072139392,11.7460541148,0.000148632580262,0.00906658739596,0.152051129608,0.525416171225,0.845422116528,4.50117959069,7.97415286302,10.6656252124,11.7807336008,11.7960730182,0.000148632580262,0.00817479191439,0.161860879905,0.566884661118,0.872324613555
17,0,0,6867,9495,5.37204495805,6728,0.129620942287,0.315163297045,0.464328180737,43,44,47,5.32774848368,5.41025749084,194,90,194,90,4837,2442,2356,4.3771127013,7.80123007904,10.4510149901,11.7175881668,11.7613980107,0.0,0.00921521997622,0.149227110583,0.525862068966,0.853002378121,4.49195705956,7.96930480372,10.6935909025,11.8127809221,11.8018609935,0.0,0.00832342449465,0.159928656361,0.579072532699,0.875
