lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,4151,5409,5.53132322487,4121,0.156110082155,0.355445484381,0.523659305994,11,14,11,1372,2779,60,29,60,29,1870,1960,620,4.41422668941,7.7575983101,10.3027715777,11.4095701224,11.3375650405,0.000242659548653,0.0211113807328,0.281242416889,0.711963115749,0.917738413007,3.36373204118,6.21052582011,9.08403514639,10.7390067036,11.0905819572,0.0,0.018927444795,0.198738170347,0.543557388983,0.825770444067
0,0,0,3823,5268,5.53600490502,4121,0.15648771778,0.319463658614,0.547197282213,20,20,16,1566,2257,69,37,69,37,2192,1814,660,4.39875471437,7.73623574016,10.1213718787,11.1350136865,11.2365288933,0.0,0.0135889347246,0.192671681631,0.542101431691,0.853676292162,3.38908234663,6.2836162614,9.06913760966,10.6925995437,11.0974550146,0.0,0.0167435088571,0.16039796166,0.491385586023,0.814850764378
1,0,0,3944,5517,5.54203134313,4121,0.162193259093,0.318193400433,0.558844940548,14,11,15,1715,2229,64,38,64,38,2426,1849,647,4.36463001818,7.70191363823,10.1131386718,11.1450876298,11.2554098973,0.000242659548653,0.0152875515652,0.200679446736,0.545498665372,0.865081290949,3.36559309915,6.23363749413,9.04960420849,10.6986822349,11.1145474383,0.000242659548653,0.018927444795,0.165979131279,0.491385586023,0.817762678961
2,0,0,3785,5310,5.541862895,4121,0.145521964298,0.315517062903,0.551565154089,19,10,18,1605,2180,76,33,76,33,2332,1782,657,4.40858389682,7.71833199864,10.130604015,11.1440688132,11.2395064803,0.000242659548653,0.0162581897598,0.192671681631,0.557631642805,0.858772142684,3.38613965295,6.25098235917,9.03788892841,10.6856435511,11.0877049194,0.0,0.0143169133705,0.158214025722,0.493326862412,0.809997573405
3,0,0,3993,5515,5.54363890374,4121,0.147204562654,0.331517870958,0.559330259646,15,22,19,1649,2344,78,25,78,25,2373,1862,677,4.37218521797,7.71499584968,10.096714693,11.1456294884,11.254269661,0.0,0.0165008493084,0.183935937879,0.548410579956,0.862897355011,3.42173787314,6.2684186148,9.04847748863,10.6645609929,11.0747167702,0.0,0.0167435088571,0.162824557146,0.488473671439,0.809269594759
4,0,0,3874,5393,5.54321071566,4121,0.157160734645,0.322841604351,0.555205047319,16,18,18,1747,2127,72,30,72,30,2415,1862,652,4.4136137839,7.72480411091,10.1222412192,11.1819455408,11.2728991586,0.0,0.0131036156273,0.19461295802,0.555447706867,0.874059694249,3.39523824528,6.2386320257,9.02108757935,10.6725717043,11.1021430219,0.0,0.0160155302111,0.158214025722,0.487745692793,0.813152147537
5,0,0,3835,5419,5.54625526842,4121,0.152623050065,0.302170506452,0.550837175443,16,8,17,1570,2265,65,35,65,35,2248,1741,657,4.42870231322,7.7408981503,10.1184336685,11.1694164093,11.2424602301,0.000242659548653,0.017471487503,0.179568066003,0.560058238292,0.858286823587,3.38954039279,6.23050644047,9.05520473052,10.685802658,11.0867686312,0.0,0.0179568066003,0.1441397719,0.484105799563,0.80902693521
6,0,0,3788,5352,5.54235810895,4121,0.14478017074,0.327356199474,0.561756855132,18,13,13,1589,2199,67,34,67,34,2311,1784,676,4.40715431631,7.72475857011,10.1292895913,11.1515115991,11.2420578242,0.0,0.0131036156273,0.186362533366,0.552778451832,0.859742780878,3.39113777288,6.23600619199,9.01977508543,10.6740224147,11.0954341028,0.0,0.0194127638923,0.156272749333,0.488716330988,0.81436544528
7,0,0,3927,5503,5.5389053934,4121,0.153121837124,0.310655575361,0.568308662946,14,19,15,1724,2203,71,32,71,32,2460,1814,653,4.39767413696,7.69842545836,10.1073885467,11.1351362792,11.2228627468,0.000485319097306,0.0160155302111,0.18563455472,0.543072069886,0.845911186605,3.39257498869,6.23526523008,9.0133434442,10.6096101805,11.051393581,0.0,0.0167435088571,0.160155302111,0.471730162582,0.803445765591
8,0,0,3789,5312,5.53906323991,4121,0.154553666065,0.312977898816,0.551565154089,19,12,15,1602,2187,68,31,68,31,2294,1749,665,4.41206408988,7.72825715291,10.133825862,11.1689312793,11.2543626556,0.0,0.0135889347246,0.181266682844,0.561514195584,0.864595971851,3.40524281206,6.26891114591,9.00361983522,10.6458415781,11.077632232,0.0,0.0150448920165,0.157243387527,0.483377820917,0.804901722883
